Set,VolumeNumber,Vendor,IRF,SRF,PED
TrainingSet,TRAIN002,Cirrus,0.37249320398132746,0.013264945884299523,6.828945049728002e-05
TrainingSet,TRAIN012,Cirrus,0.0007321524692659202,0.6700773587638926,0.9430190974096361
TrainingSet,TRAIN014,Cirrus,0.0030394402967232007,0.5724021740682012,0.22717661182068102
TrainingSet,TRAIN016,Cirrus,1.0503773903360853,0.0002977867841356801,0.0004825041502348801
TrainingSet,TRAIN027,Spectralis,1.0629155586049863,0.1357106196023424,0.0018167004411494402
TrainingSet,TRAIN033,Spectralis,0.38535498338278656,0.32022775421235455,0.42656636135437215
TrainingSet,TRAIN039,Spectralis,0.7794906226141984,0.000167348764509696,0.000233757004394496
TrainingSet,TRAIN042,Spectralis,0.0109150742116416,1.8518699403158723,0.7809304740237
TrainingSet,TRAIN048,Spectralis,0.397604719028509,0.009431739160299457,0.0005600176524342401
TrainingSet,TRAIN062,Topcon,0.051357473855496764,0.0,6.754543933548386e-05
TrainingSet,TRAIN063,Topcon,0.01029832142048387,0.5460265024290323,0.10772538142201614
TrainingSet,TRAIN064,Topcon,0.06280678223467742,0.007621992692096774,0.11360662640306451
TrainingSet,TRAIN067,Topcon,0.16042041842177415,0.00028674950661290315,2.0391076025806447e-05
TrainingSet,TRAIN068,Topcon,0.547599797788529,0.006086736193703224,0.007939775227548386
