Set,VolumeNumber,Vendor,IRF,SRF,PED
TrainingSet,TRAIN002,Cirrus,0.37310892853499145,0.012838416693488643,2.910697890048001e-05
TrainingSet,TRAIN012,Cirrus,0.0005418376072243202,0.6726175024225538,0.9461783241195266
TrainingSet,TRAIN014,Cirrus,3.582397403136001e-05,0.5745045935441665,0.25162983259464966
TrainingSet,TRAIN016,Cirrus,1.130380720592026,0.0003694347321984001,9.627693020928003e-05
TrainingSet,TRAIN027,Spectralis,1.070759111148841,0.13174690954892546,0.00145542478523904
TrainingSet,TRAIN033,Spectralis,0.38030337569408873,0.30680588176592644,0.4707396124438825
TrainingSet,TRAIN039,Spectralis,0.8388131033032903,0.000276258277920768,0.000270945618729984
TrainingSet,TRAIN042,Spectralis,0.0087607832488176,1.9106682740435135,0.7710925452934704
TrainingSet,TRAIN048,Spectralis,0.4561200518747193,0.008079882594655873,0.000281311192850688
TrainingSet,TRAIN062,Topcon,0.057608613099658056,0.0,0.0
TrainingSet,TRAIN063,Topcon,0.010584350903225806,0.5717741960429032,0.11298542580838711
TrainingSet,TRAIN064,Topcon,0.05987466502612904,0.0025100032141935485,0.07508588932419355
TrainingSet,TRAIN067,Topcon,0.17033685358157416,0.00019626410674838707,7.646653509677418e-06
TrainingSet,TRAIN068,Topcon,0.5504392551251225,0.00556676375504516,0.007837819847419353
