Slice,PSNR,SSIM
Cirrus_TEST006_001.tiff,19.046,0.129
Cirrus_TEST006_002.tiff,19.32,0.131
Cirrus_TEST006_003.tiff,19.173,0.132
Cirrus_TEST006_004.tiff,19.213,0.128
Cirrus_TEST006_005.tiff,19.115,0.123
Cirrus_TEST006_006.tiff,19.134,0.128
Cirrus_TEST006_007.tiff,19.158,0.126
Cirrus_TEST006_008.tiff,19.119,0.125
Cirrus_TEST006_009.tiff,19.04,0.124
Cirrus_TEST006_010.tiff,19.148,0.124
Cirrus_TEST006_011.tiff,19.082,0.126
Cirrus_TEST006_012.tiff,18.974,0.124
Cirrus_TEST006_013.tiff,19.049,0.122
Cirrus_TEST006_014.tiff,19.051,0.127
Cirrus_TEST006_015.tiff,19.155,0.124
Cirrus_TEST006_016.tiff,19.009,0.122
Cirrus_TEST006_017.tiff,19.076,0.125
Cirrus_TEST006_018.tiff,18.999,0.121
Cirrus_TEST006_019.tiff,19.081,0.126
Cirrus_TEST006_020.tiff,18.936,0.127
Cirrus_TEST006_021.tiff,19.217,0.132
Cirrus_TEST006_022.tiff,19.208,0.13
Cirrus_TEST006_023.tiff,19.102,0.126
Cirrus_TEST006_024.tiff,19.011,0.131
Cirrus_TEST006_025.tiff,19.056,0.131
Cirrus_TEST006_026.tiff,19.073,0.127
Cirrus_TEST006_027.tiff,18.998,0.122
Cirrus_TEST006_028.tiff,19.012,0.133
Cirrus_TEST006_029.tiff,19.234,0.137
Cirrus_TEST006_030.tiff,19.364,0.139
Cirrus_TEST006_031.tiff,19.21,0.136
Cirrus_TEST006_032.tiff,19.37,0.138
Cirrus_TEST006_033.tiff,19.356,0.136
Cirrus_TEST006_034.tiff,19.08,0.135
Cirrus_TEST006_035.tiff,19.246,0.135
Cirrus_TEST006_036.tiff,19.128,0.134
Cirrus_TEST006_037.tiff,19.401,0.135
Cirrus_TEST006_038.tiff,19.385,0.135
Cirrus_TEST006_039.tiff,19.23,0.135
Cirrus_TEST006_040.tiff,19.225,0.133
Cirrus_TEST006_041.tiff,19.328,0.137
Cirrus_TEST006_042.tiff,19.5,0.14
Cirrus_TEST006_043.tiff,19.457,0.141
Cirrus_TEST006_044.tiff,19.491,0.135
Cirrus_TEST006_045.tiff,19.281,0.135
Cirrus_TEST006_046.tiff,19.502,0.141
Cirrus_TEST006_047.tiff,19.323,0.14
Cirrus_TEST006_048.tiff,19.658,0.144
Cirrus_TEST006_049.tiff,19.53,0.139
