Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.2693716996461795 (0.19656873400891892),0.20134715610183776 (0.15043074672658174),nan (nan)
TRAIN010,0.1993784785804832 (0.14903905448231133),nan (nan),nan (nan)
TRAIN011,0.4630795246099724 (0.18013007252050817),0.34398385676805204 (0.2409552851734462),0.07504908024037088 (0.058387561266886344)
TRAIN013,0.10650056901795324 (0.10946129091782157),0.27298348577549825 (0.20872542872422298),0.12393770610497361 (0.09101179565320447)
TRAIN015,nan (nan),0.20033586968536837 (0.13363787132544006),0.4811858402210332 (0.08999568566248146)
TRAIN028,nan (nan),0.769237790788923 (0.09768962749642612),0.3684232429685918 (0.2655009287591575)
TRAIN029,0.6181596210774254 (0.1546190892914405),0.8301767905553182 (0.09485822864770005),nan (nan)
TRAIN032,0.5518348244379978 (0.1534030330842761),0.7273897219668416 (0.16130128392904788),nan (nan)
TRAIN041,0.3102980653444926 (0.21015930714882386),nan (nan),nan (nan)
TRAIN046,0.35423295324047405 (0.15018773213377595),0.4950072666009267 (0.17300968341769365),0.5803226282199224 (0.2145903812178414)
TRAIN049,nan (nan),0.33721215880819055 (0.2782822264257708),0.38221685768201435 (0.16735007527040416)
TRAIN050,0.17178640721013416 (0.15967599168954694),nan (nan),0.3603890734005042 (0.211352976114112)
TRAIN051,0.1896445667181088 (0.14168324313890923),0.2361949662550945 (0.26953973955242444),nan (nan)
TRAIN056,0.44037345907202474 (0.32606368727332347),nan (nan),nan (nan)
