Slice,PSNR,SSIM,MSE
Cirrus_TRAIN002_001.tiff,20.948,0.172,0.008039416745305061
Cirrus_TRAIN002_002.tiff,20.649,0.164,0.008612384088337421
Cirrus_TRAIN002_003.tiff,20.302,0.157,0.009328652173280716
Cirrus_TRAIN002_004.tiff,20.511,0.16,0.008890477940440178
Cirrus_TRAIN002_005.tiff,20.312,0.154,0.009306374005973339
Cirrus_TRAIN002_006.tiff,20.33,0.154,0.00926782563328743
Cirrus_TRAIN002_007.tiff,20.404,0.156,0.00911159161478281
Cirrus_TRAIN002_008.tiff,20.61,0.159,0.008689889684319496
Cirrus_TRAIN002_009.tiff,20.757,0.169,0.008401081897318363
Cirrus_TRAIN002_010.tiff,20.884,0.174,0.008157704956829548
Cirrus_TRAIN002_011.tiff,21.063,0.182,0.007829532027244568
Cirrus_TRAIN002_012.tiff,20.919,0.182,0.008092524483799934
Cirrus_TRAIN002_013.tiff,20.856,0.18,0.00821077823638916
Cirrus_TRAIN002_014.tiff,20.751,0.17,0.008411272428929806
Cirrus_TRAIN002_015.tiff,20.8,0.168,0.008318401873111725
Cirrus_TRAIN002_016.tiff,20.656,0.162,0.008598033338785172
Cirrus_TRAIN002_017.tiff,20.513,0.162,0.008884867653250694
Cirrus_TRAIN002_018.tiff,20.669,0.167,0.008571974001824856
Cirrus_TRAIN002_019.tiff,20.733,0.169,0.008446170948445797
Cirrus_TRAIN002_020.tiff,20.786,0.171,0.008343984372913837
Cirrus_TRAIN002_021.tiff,20.741,0.171,0.008431308902800083
Cirrus_TRAIN002_022.tiff,20.765,0.167,0.008385875262320042
Cirrus_TRAIN002_023.tiff,20.613,0.169,0.008683177642524242
Cirrus_TRAIN002_024.tiff,20.542,0.166,0.008827666752040386
Cirrus_TRAIN002_025.tiff,20.631,0.164,0.008647301234304905
Cirrus_TRAIN002_026.tiff,20.569,0.166,0.008772319182753563
Cirrus_TRAIN002_027.tiff,20.518,0.168,0.008875519037246704
Cirrus_TRAIN002_028.tiff,20.762,0.169,0.008391431532800198
Cirrus_TRAIN002_029.tiff,20.69,0.167,0.008530723862349987
Cirrus_TRAIN002_030.tiff,20.408,0.162,0.009103632532060146
Cirrus_TRAIN002_031.tiff,20.494,0.164,0.008925016969442368
Cirrus_TRAIN002_032.tiff,20.717,0.171,0.008478796109557152
Cirrus_TRAIN002_033.tiff,20.852,0.175,0.008217699825763702
Cirrus_TRAIN002_034.tiff,20.782,0.172,0.008352058939635754
Cirrus_TRAIN002_035.tiff,20.741,0.169,0.008431948721408844
Cirrus_TRAIN002_036.tiff,20.764,0.175,0.008387775160372257
Cirrus_TRAIN002_037.tiff,20.702,0.175,0.008506926707923412
Cirrus_TRAIN002_038.tiff,20.492,0.161,0.008929713629186153
Cirrus_TRAIN002_039.tiff,20.794,0.181,0.00832873210310936
Cirrus_TRAIN002_040.tiff,20.803,0.183,0.008312121033668518
Cirrus_TRAIN002_041.tiff,20.867,0.179,0.008191180415451527
Cirrus_TRAIN002_042.tiff,20.832,0.179,0.00825602188706398
Cirrus_TRAIN002_043.tiff,20.715,0.175,0.008481587283313274
Cirrus_TRAIN002_044.tiff,20.806,0.176,0.008306054398417473
Cirrus_TRAIN002_045.tiff,20.676,0.171,0.008558637462556362
Cirrus_TRAIN002_046.tiff,20.691,0.172,0.008528520353138447
Cirrus_TRAIN002_047.tiff,20.419,0.164,0.009079597890377045
Cirrus_TRAIN002_048.tiff,20.693,0.169,0.00852523185312748
Cirrus_TRAIN002_049.tiff,20.903,0.172,0.008123316802084446
Cirrus_TRAIN002_050.tiff,20.665,0.173,0.008579965680837631
