Slice,PSNR,SSIM,MSE
Cirrus_TEST006_001.tiff,20.824,0.198,0.008272395469248295
Cirrus_TEST006_002.tiff,20.983,0.201,0.007974742911756039
Cirrus_TEST006_003.tiff,20.906,0.199,0.008117652498185635
Cirrus_TEST006_004.tiff,20.737,0.193,0.008438325487077236
Cirrus_TEST006_005.tiff,20.628,0.191,0.008653424680233002
Cirrus_TEST006_006.tiff,20.795,0.196,0.008328116498887539
Cirrus_TEST006_007.tiff,20.704,0.193,0.0085027776658535
Cirrus_TEST006_008.tiff,20.404,0.186,0.009111321531236172
Cirrus_TEST006_009.tiff,20.665,0.191,0.008580446243286133
Cirrus_TEST006_010.tiff,20.717,0.191,0.008478768169879913
Cirrus_TEST006_011.tiff,20.575,0.189,0.008760365657508373
Cirrus_TEST006_012.tiff,20.453,0.186,0.009009299799799919
Cirrus_TEST006_013.tiff,20.46,0.182,0.008994029834866524
Cirrus_TEST006_014.tiff,20.62,0.189,0.008669095113873482
Cirrus_TEST006_015.tiff,20.589,0.188,0.008731357753276825
Cirrus_TEST006_016.tiff,20.601,0.187,0.008707470260560513
Cirrus_TEST006_017.tiff,20.566,0.187,0.00877772830426693
Cirrus_TEST006_018.tiff,20.579,0.187,0.008751665242016315
Cirrus_TEST006_019.tiff,20.448,0.185,0.009019124321639538
Cirrus_TEST006_020.tiff,20.595,0.2,0.008719711564481258
Cirrus_TEST006_021.tiff,20.644,0.193,0.00862186774611473
Cirrus_TEST006_022.tiff,20.624,0.188,0.00866176187992096
Cirrus_TEST006_023.tiff,20.544,0.193,0.00882283691316843
Cirrus_TEST006_024.tiff,20.459,0.196,0.00899757631123066
Cirrus_TEST006_025.tiff,20.559,0.195,0.008792450651526451
Cirrus_TEST006_026.tiff,20.502,0.19,0.008909063413739204
Cirrus_TEST006_027.tiff,20.438,0.187,0.00904136709868908
Cirrus_TEST006_028.tiff,20.695,0.2,0.008520975708961487
Cirrus_TEST006_029.tiff,20.9,0.204,0.008129014633595943
Cirrus_TEST006_030.tiff,20.928,0.207,0.008075292222201824
Cirrus_TEST006_031.tiff,20.945,0.208,0.008044841699302197
Cirrus_TEST006_032.tiff,20.957,0.206,0.0080225495621562
Cirrus_TEST006_033.tiff,21.008,0.21,0.007928810082376003
Cirrus_TEST006_034.tiff,20.761,0.204,0.008391980081796646
Cirrus_TEST006_035.tiff,20.543,0.193,0.008824390359222889
Cirrus_TEST006_036.tiff,20.871,0.203,0.008182678371667862
Cirrus_TEST006_037.tiff,21.065,0.205,0.007824787870049477
Cirrus_TEST006_038.tiff,21.11,0.203,0.00774430064484477
Cirrus_TEST006_039.tiff,20.894,0.2,0.008139243349432945
Cirrus_TEST006_040.tiff,20.763,0.199,0.008388776332139969
Cirrus_TEST006_041.tiff,20.998,0.204,0.007946517318487167
Cirrus_TEST006_042.tiff,21.306,0.209,0.007402127608656883
Cirrus_TEST006_043.tiff,21.362,0.214,0.00730872480198741
Cirrus_TEST006_044.tiff,21.089,0.21,0.007781424559652805
Cirrus_TEST006_045.tiff,21.06,0.206,0.007833508774638176
Cirrus_TEST006_046.tiff,21.341,0.217,0.007343274541199207
Cirrus_TEST006_047.tiff,21.446,0.221,0.007168279495090246
Cirrus_TEST006_048.tiff,21.458,0.22,0.007149074226617813
Cirrus_TEST006_049.tiff,21.319,0.214,0.007381122093647718
Cirrus_TEST006_050.tiff,21.281,0.209,0.007445360068231821
Cirrus_TEST006_051.tiff,21.393,0.214,0.007255903910845518
Cirrus_TEST006_052.tiff,21.33,0.212,0.007362009026110172
Cirrus_TEST006_053.tiff,21.279,0.214,0.007449217140674591
Cirrus_TEST006_054.tiff,21.375,0.212,0.007286044768989086
Cirrus_TEST006_055.tiff,21.336,0.21,0.007352686021476984
Cirrus_TEST006_056.tiff,21.035,0.205,0.007878820411860943
Cirrus_TEST006_057.tiff,21.133,0.211,0.007703965064138174
Cirrus_TEST006_058.tiff,21.538,0.22,0.007017560303211212
Cirrus_TEST006_059.tiff,21.504,0.216,0.007073249202221632
Cirrus_TEST006_060.tiff,20.972,0.207,0.007994549348950386
Cirrus_TEST006_061.tiff,21.63,0.221,0.006870798300951719
Cirrus_TEST006_062.tiff,21.746,0.225,0.006689940579235554
Cirrus_TEST006_063.tiff,21.28,0.21,0.007447631098330021
Cirrus_TEST006_064.tiff,20.953,0.207,0.008030258119106293
Cirrus_TEST006_065.tiff,21.216,0.211,0.007558141835033894
Cirrus_TEST006_066.tiff,21.283,0.213,0.007441336289048195
Cirrus_TEST006_067.tiff,21.241,0.206,0.007513971999287605
Cirrus_TEST006_068.tiff,21.113,0.202,0.007739312946796417
Cirrus_TEST006_069.tiff,20.811,0.202,0.008296883665025234
Cirrus_TEST006_070.tiff,21.387,0.211,0.007266608066856861
Cirrus_TEST006_071.tiff,21.579,0.219,0.006951723247766495
Cirrus_TEST006_072.tiff,21.3,0.21,0.007413526531308889
Cirrus_TEST006_073.tiff,21.29,0.209,0.00743077602237463
Cirrus_TEST006_074.tiff,21.135,0.205,0.007699432782828808
Cirrus_TEST006_075.tiff,20.678,0.196,0.008554673753678799
Cirrus_TEST006_076.tiff,20.712,0.19,0.008487719111144543
Cirrus_TEST006_077.tiff,21.023,0.197,0.007900887168943882
Cirrus_TEST006_078.tiff,20.959,0.191,0.008018430322408676
Cirrus_TEST006_079.tiff,20.741,0.187,0.00843049306422472
Cirrus_TEST006_080.tiff,20.796,0.19,0.008326136507093906
Cirrus_TEST006_081.tiff,21.017,0.195,0.00791213009506464
Cirrus_TEST006_082.tiff,21.009,0.194,0.007926109246909618
Cirrus_TEST006_083.tiff,21.22,0.199,0.007550240494310856
Cirrus_TEST006_084.tiff,21.18,0.199,0.007620780263096094
Cirrus_TEST006_085.tiff,21.171,0.2,0.007636416237801313
Cirrus_TEST006_086.tiff,21.317,0.204,0.007383380550891161
Cirrus_TEST006_087.tiff,21.627,0.213,0.0068755620159208775
Cirrus_TEST006_088.tiff,21.577,0.212,0.006954748649150133
Cirrus_TEST006_089.tiff,21.639,0.21,0.006856628227978945
Cirrus_TEST006_090.tiff,21.42,0.205,0.007210436277091503
Cirrus_TEST006_091.tiff,20.704,0.193,0.008504481054842472
Cirrus_TEST006_092.tiff,20.847,0.199,0.008228878490626812
Cirrus_TEST006_093.tiff,21.016,0.2,0.007914259098470211
Cirrus_TEST006_094.tiff,21.159,0.2,0.007656889036297798
Cirrus_TEST006_095.tiff,21.422,0.204,0.007207383867353201
Cirrus_TEST006_096.tiff,21.386,0.204,0.007267821114510298
Cirrus_TEST006_097.tiff,21.056,0.195,0.007840902544558048
Cirrus_TEST006_098.tiff,20.793,0.186,0.008330786600708961
Cirrus_TEST006_099.tiff,20.862,0.189,0.00819904264062643
Cirrus_TEST006_100.tiff,20.903,0.192,0.008122439496219158
Cirrus_TEST006_101.tiff,20.839,0.188,0.008243531920015812
Cirrus_TEST006_102.tiff,20.551,0.181,0.00880921259522438
Cirrus_TEST006_103.tiff,20.327,0.178,0.009274577721953392
Cirrus_TEST006_104.tiff,20.483,0.178,0.008947125636041164
