Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.8 (0.40224091389239447),1.0 (0.0),0.8285714285714286 (0.38238526043109716)
TRAIN007,0.8490566037735849 (0.3614195524432012),0.703125 (0.4586762019853619),0.796875 (0.4039056372217743)
TRAIN018,0.84 (0.36808133743473337),0.90625 (0.2926259066792319),0.96875 (0.1746763035549529)
TRAIN022,0.3225806451612903 (0.47519096331149147),0.7734375 (0.42025196322970965),0.796875 (0.40390563722177425)
TRAIN024,0.9375 (0.2430125883781254),0.28125 (0.4513758494650716),0.1717171717171717 (0.3790537100600475)
TRAIN026,0.972972972972973 (0.16439898730535726),0.9591836734693877 (0.19991494790174602),0.8979591836734694 (0.3058388709205983)
TRAIN034,0.8333333333333334 (0.3834824944236852),0.9795918367346939 (0.14285714285714285),0.9795918367346939 (0.14285714285714285)
TRAIN040,0.8636363636363636 (0.3512500866571044),0.6585365853658537 (0.48009145470217307),0.6938775510204082 (0.46565731465733207)
TRAIN043,0.7419354838709677 (0.44480272297456924),0.9166666666666666 (0.28232985128663995),1.0 (0.0)
TRAIN044,0.8095238095238095 (0.4023739080814782),0.0 (0.0),0.4090909090909091 (0.5032362797401965)
TRAIN052,0.29 (0.45604802157206853),0.4260869565217391 (0.4966708388830537),0.390625 (0.4898075308964069)
TRAIN054,0.9 (0.30168068541929594),0.9752066115702479 (0.15614149124834245),0.8515625 (0.3569301250570318)
TRAIN059,0.8823529411764706 (0.32539568672798425),0.9203539823008849 (0.27195039333468984),0.8515625 (0.3569301250570318)
TRAIN069,0.8984375 (0.30325903664538445),0.6111111111111112 (0.4894441291460707),0.7014925373134329 (0.46105693374634954)
