Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7539078012729684 (0.18119700452378357),0.8171696726764951 (0.16332867799731765),nan (nan)
TRAIN017,0.7066164787696756 (0.22977771817351902),nan (nan),0.5686590571488653 (0.19825114148489112)
TRAIN019,0.7412252037061585 (0.21283509429711162),nan (nan),nan (nan)
TRAIN021,0.6621297688587852 (0.13198230046036877),0.5954124353826046 (0.2795550135854095),nan (nan)
TRAIN023,nan (nan),nan (nan),0.5068225156177174 (0.21365935544633108)
TRAIN025,0.6824596792459487 (0.21828188669400847),nan (nan),0.7108366705220321 (0.1493486414184415)
TRAIN031,nan (nan),nan (nan),0.6172694694250822 (0.23628391406001562)
TRAIN035,nan (nan),0.9284884957380073 (0.046965441518576005),0.3750503883800573 (0.18286716683261686)
TRAIN037,0.6344331463380736 (0.14789847650020232),0.8799373341931237 (0.11405989085054426),nan (nan)
TRAIN053,0.5921815154241755 (0.20568964115775365),0.6401648907015076 (0.22409044335476946),0.5987987358202326 (0.11556859684169506)
TRAIN057,nan (nan),0.7178196720307386 (0.19622543184467203),0.6302085436405019 (0.12787821225446117)
TRAIN060,0.4596299416336574 (0.18494084553669454),nan (nan),nan (nan)
TRAIN065,0.5716020278632641 (0.19406389210338074),nan (nan),nan (nan)
TRAIN070,0.6330941874405434 (0.2848297860177736),nan (nan),nan (nan)
