slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED
Cirrus_TRAIN001_000.tiff,0.9999586343765259,4.761904293104635e-08,1.0,1.0,253952,0,0,0,507883,21,0,0,253931,0,0,0
Cirrus_TRAIN001_001.tiff,0.9997774958610535,8.849557531220853e-09,1.0,1.0,253952,0,0,0,507791,113,0,0,253839,0,0,0
Cirrus_TRAIN001_002.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0
Cirrus_TRAIN001_003.tiff,0.9997459650039673,7.751937758371241e-09,1.0,1.0,253952,0,0,0,507775,129,0,0,253823,0,0,0
Cirrus_TRAIN001_004.tiff,0.9996947050094604,6.4516130215963585e-09,1.0,1.0,253952,0,0,0,507749,155,0,0,253797,0,0,0
Cirrus_TRAIN001_005.tiff,0.9998936653137207,1.8518518274390772e-08,1.0,1.0,253952,0,0,0,507850,54,0,0,253898,0,0,0
Cirrus_TRAIN001_006.tiff,0.9993301630020142,2.9411764135289786e-09,1.0,1.0,253952,0,0,0,507564,340,0,0,253612,0,0,0
Cirrus_TRAIN001_007.tiff,0.9995036125183105,3.9682541697061424e-09,1.0,1.0,253952,0,0,0,507652,252,0,0,253700,0,0,0
Cirrus_TRAIN001_008.tiff,0.9996435046195984,5.5248619013070766e-09,1.0,1.0,253952,0,0,0,507723,181,0,0,253771,0,0,0
Cirrus_TRAIN001_009.tiff,0.9989001750946045,1.7921146788779652e-09,1.0,1.0,253952,0,0,0,507346,558,0,0,253394,0,0,0
Cirrus_TRAIN001_010.tiff,0.9994503855705261,3.5842293577559303e-09,1.0,1.0,253952,0,0,0,507625,279,0,0,253673,0,0,0
Cirrus_TRAIN001_011.tiff,0.9987955689430237,1.6366612509699507e-09,1.0,1.0,253952,0,0,0,507293,611,0,0,253341,0,0,0
Cirrus_TRAIN001_012.tiff,0.9990678429603577,2.1141648431921567e-09,1.0,1.0,253952,0,0,0,507431,473,0,0,253479,0,0,0
Cirrus_TRAIN001_013.tiff,0.9989554286003113,1.886792500016554e-09,1.0,1.0,253952,0,0,0,507374,530,0,0,253422,0,0,0
Cirrus_TRAIN001_014.tiff,0.9987462162971497,1.5723270463396943e-09,1.0,1.0,253952,0,0,0,507268,636,0,0,253316,0,0,0
Cirrus_TRAIN001_015.tiff,0.998473584651947,0.06746987998485565,1.0,1.0,253924,28,0,0,507074,830,0,0,253150,28,0,0
Cirrus_TRAIN001_016.tiff,0.9993419051170349,0.1302083283662796,1.0,1.0,253927,25,0,0,507520,384,0,0,253593,25,0,0
Cirrus_TRAIN001_017.tiff,0.9996591210365295,0.5986078977584839,1.0,1.0,253822,130,0,0,507473,431,0,0,253650,129,0,0
Cirrus_TRAIN001_018.tiff,0.9995173811912537,4.0816328095161225e-09,1.0,1.0,253952,0,0,0,507659,245,0,0,253707,0,0,0
Cirrus_TRAIN001_019.tiff,0.9988940358161926,0.1589205414056778,1.0,1.0,253899,53,0,0,507237,667,0,0,253338,53,0,0
Cirrus_TRAIN001_020.tiff,0.9992177486419678,2.518891761837949e-09,1.0,1.0,253952,0,0,0,507507,397,0,0,253555,0,0,0
Cirrus_TRAIN001_021.tiff,0.9984145164489746,1.2437810781307235e-09,1.0,1.0,253952,0,0,0,507100,804,0,0,253148,0,0,0
Cirrus_TRAIN001_022.tiff,0.9985415935516357,0.3784692883491516,1.0,1.0,253700,252,0,0,506715,1189,0,0,252988,225,0,0
Cirrus_TRAIN001_023.tiff,0.9984961748123169,0.5910800695419312,1.0,1.0,253362,590,0,0,506043,1861,0,0,252641,550,0,0
Cirrus_TRAIN001_024.tiff,0.9978151917457581,0.6387160420417786,1.0,1.0,252823,1129,0,0,504851,3053,0,0,251874,975,0,0
Cirrus_TRAIN001_025.tiff,0.9968818426132202,0.2682134509086609,1.0,1.0,253653,299,0,0,505749,2155,0,0,252086,289,0,0
Cirrus_TRAIN001_026.tiff,0.9974721670150757,0.4519725441932678,1.0,1.0,253403,549,0,0,505572,2332,0,0,252147,527,0,0
