Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.43336163222556934 (0.44463158183990487),0.8123180062975734 (0.1421263787548847),0.5499422732391395 (0.3836947845760129)
TRAIN007,0.6593921510502696 (0.3263030418615094),0.9375 (0.2430125883781254),0.90625 (0.29262590667923183)
TRAIN018,0.8785183848813176 (0.3230747044367934),0.9609375 (0.19450497433065841),1.0 (0.0)
TRAIN022,0.6092113428749144 (0.28371145653613405),0.8125 (0.39184602471712543),0.8125 (0.3918460247171255)
TRAIN024,0.8046875 (0.39799880801467546),0.6875 (0.4653336792785001),0.22652480157557875 (0.35811951878671705)
TRAIN026,0.8070795596862326 (0.3660445982893717),0.9183673469387755 (0.2766416675862441),0.8979591836734694 (0.3058388709205983)
TRAIN034,0.5998003899442906 (0.398795983330966),0.8571428571428571 (0.35355339059327373),0.9591836734693877 (0.19991494790174602)
TRAIN040,0.6858570849408909 (0.3322426765891863),0.6502965542734885 (0.45233314094786836),0.5102040816326531 (0.5050762722761054)
TRAIN043,0.6216511872349954 (0.4115538021694059),0.8244297066513373 (0.2842294972535146),0.7897930545542313 (0.3037822651120073)
TRAIN044,0.6881558676155246 (0.3347497024105748),0.7431247483710853 (0.3238037687028982),0.5022525002761763 (0.3788962202616722)
TRAIN052,0.6649113392049912 (0.4295915788620629),0.6651785532594658 (0.44968574967433556),0.9140625 (0.2813730045980521)
TRAIN054,0.8128061833558604 (0.29816111354371033),0.9731724387966096 (0.1185822028048101),0.890625 (0.3133354972840895)
TRAIN059,0.7233874618541449 (0.28431649500770817),0.9028054941445589 (0.2574383558072225),0.8984375 (0.30325903664538445)
TRAIN069,0.9609375 (0.19450497433065844),0.8418418779037893 (0.364333736349244),0.7121470588608645 (0.325754937916279)
