slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D2S1_001.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_002.tiff,0.9997518658638,0.0,1.0,1.0,507904,0,0,0,1015556,252,0,0,507652,0,0,0,0.0
Spectralis_D2S1_003.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_004.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_005.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_006.tiff,0.9990529417991638,0.0,0.2478184998035431,0.0,507833,0,71,0,1014705,16,573,514,506872,0,71,0,0.12873980402946472
Spectralis_D2S1_007.tiff,0.9976868033409119,0.0,0.19672131538391113,0.0,507825,0,79,0,1013306,668,732,1102,505481,0,72,0,0.06314948201179504
Spectralis_D2S1_008.tiff,0.9967082738876343,0.0,0.20036832988262177,0.0,507632,0,272,0,1011933,529,2715,631,504301,0,272,0,0.14038710296154022
Spectralis_D2S1_009.tiff,0.9958314895629883,0.0,0.3509615361690521,0.0,507685,0,219,0,1011155,651,1248,2754,503470,0,219,0,0.09413281828165054
Spectralis_D2S1_010.tiff,0.9987462162971497,0.0,0.0,0.0,507904,0,0,0,1014536,968,76,228,506632,0,0,0,0.0
Spectralis_D2S1_011.tiff,0.9997686147689819,0.0,1.0,0.0,507904,0,0,0,1015573,116,0,119,507669,0,0,0,0.0
Spectralis_D2S1_012.tiff,0.9995351433753967,1.0,0.0,0.0,507904,0,0,0,1015336,0,21,451,507432,0,0,0,0.0
Spectralis_D2S1_013.tiff,0.9993153214454651,0.0,0.0,0.0,507904,0,0,0,1015113,376,2,317,507209,0,0,0,0.0
Spectralis_D2S1_014.tiff,0.9997183680534363,0.0,0.0,1.0,507904,0,0,0,1015522,271,15,0,507618,0,0,0,0.0
Spectralis_D2S1_015.tiff,0.9996090531349182,0.0,0.0,1.0,507904,0,0,0,1015411,139,258,0,507507,0,0,0,0.0
Spectralis_D2S1_016.tiff,0.9998326301574707,0.0,1.0,1.0,507904,0,0,0,1015638,170,0,0,507734,0,0,0,0.0
Spectralis_D2S1_017.tiff,0.9998601675033569,0.0,1.0,1.0,507904,0,0,0,1015666,142,0,0,507762,0,0,0,0.0
Spectralis_D2S1_018.tiff,0.9997439980506897,0.0,0.0,1.0,507904,0,0,0,1015548,253,7,0,507644,0,0,0,0.0
Spectralis_D2S1_019.tiff,0.9992848038673401,0.0,0.0,1.0,507904,0,0,0,1015082,581,145,0,507178,0,0,0,0.0
Spectralis_D3S1_001.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_002.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_003.tiff,0.9995371103286743,1.0,1.0,0.0,507904,0,0,0,1015338,0,0,470,507434,0,0,0,0.0
Spectralis_D3S1_004.tiff,0.9999704957008362,1.0,1.0,0.0,507874,0,0,30,1015778,0,0,30,507874,0,0,0,0.0
Spectralis_D3S1_005.tiff,0.9999970197677612,0.0,1.0,1.0,507904,0,0,0,1015805,3,0,0,507901,0,0,0,0.0
Spectralis_D3S1_006.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_007.tiff,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_008.tiff,0.9993636608123779,0.0,1.0,0.0,507904,0,0,0,1015162,2,0,644,507258,0,0,0,0.0
Spectralis_D3S1_009.tiff,0.9980508685112,1.0,0.0,0.022684309631586075,507756,0,0,148,1013796,0,425,1587,505910,0,0,18,0.017892643809318542
Spectralis_D3S1_010.tiff,0.9972261190414429,0.0,0.8450825214385986,0.0,505919,0,1985,0,1009065,29,4667,2047,503133,0,1972,0,0.5849028825759888
Spectralis_D3S1_011.tiff,0.9953837394714355,0.0,0.674487829208374,0.0,505978,0,1926,0,1007306,87,5711,2704,501328,0,1926,0,0.45306986570358276
Spectralis_D3S1_012.tiff,0.9964450001716614,0.0,0.3909491002559662,0.0,507282,0,622,0,1010970,9,3182,1647,503688,0,622,0,0.25713104009628296
Spectralis_D3S1_013.tiff,0.9956238269805908,0.0,0.2752791941165924,0.0,507448,0,456,0,1010474,430,3313,1591,503026,0,456,0,0.1709786206483841
Spectralis_D3S1_014.tiff,0.9961569309234619,0.0,0.3361569344997406,0.0,507527,0,377,0,1011168,438,2243,1959,503641,0,377,0,0.16249999403953552
Spectralis_D3S1_015.tiff,0.9982969760894775,0.0,0.47990256547927856,0.0,507313,0,591,0,1012901,62,2463,382,505588,0,591,0,0.40660473704338074
Spectralis_D3S1_016.tiff,0.9991684556007385,0.0,1.0,0.0,507904,0,0,0,1014964,331,0,513,507060,0,0,0,0.0
Spectralis_D3S1_017.tiff,0.9987393021583557,0.0,0.0,0.0,507904,0,0,0,1014529,912,220,147,506625,0,0,0,0.0
Spectralis_D3S1_018.tiff,0.9997400641441345,0.0,1.0,0.0,507904,0,0,0,1015544,214,0,50,507640,0,0,0,0.0
Spectralis_D3S1_019.tiff,0.9990047216415405,0.0,1.0,0.0,507904,0,0,0,1014798,874,0,136,506894,0,0,0,0.0
