slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D2S1_001_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_002_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_003_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_004_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_005_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_006_predicted,0.9990529417991638,0.0,0.2478184998035431,0.0,507833,0,71,0,1014705,16,573,514,506872,0,71,0,0.12873980402946472
Spectralis_D2S1_007_predicted,0.9979478716850281,0.0,0.2185128927230835,0.0,507825,0,79,0,1013570,668,659,911,505745,0,72,0,0.07059875130653381
Spectralis_D2S1_008_predicted,0.9978214502334595,0.0,0.3035714328289032,0.0,507632,0,272,0,1013057,364,1792,595,505425,0,272,0,0.19774627685546875
Spectralis_D2S1_009_predicted,0.9961581230163574,0.0,0.3509615361690521,0.0,507685,0,219,0,1011484,322,1248,2754,503799,0,219,0,0.1012950986623764
Spectralis_D2S1_010_predicted,0.998751163482666,0.0,0.0,0.0,507904,0,0,0,1014541,963,76,228,506637,0,0,0,0.0
Spectralis_D2S1_011_predicted,0.9997686147689819,0.0,1.0,0.0,507904,0,0,0,1015573,116,0,119,507669,0,0,0,0.0
Spectralis_D2S1_012_predicted,0.9999379515647888,1.0,0.0,0.0,507904,0,0,0,1015745,0,21,42,507841,0,0,0,0.0
Spectralis_D2S1_013_predicted,0.9996878504753113,1.0,1.0,0.0,507904,0,0,0,1015491,0,0,317,507587,0,0,0,0.0
Spectralis_D2S1_014_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_015_predicted,0.999969482421875,0.0,1.0,1.0,507904,0,0,0,1015777,31,0,0,507873,0,0,0,0.0
Spectralis_D2S1_016_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_017_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_018_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D2S1_019_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_001_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_002_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_003_predicted,0.9995371103286743,1.0,1.0,0.0,507904,0,0,0,1015338,0,0,470,507434,0,0,0,0.0
Spectralis_D3S1_004_predicted,0.9999704957008362,1.0,1.0,0.0,507874,0,0,30,1015778,0,0,30,507874,0,0,0,0.0
Spectralis_D3S1_005_predicted,0.9999970197677612,0.0,1.0,1.0,507904,0,0,0,1015805,3,0,0,507901,0,0,0,0.0
Spectralis_D3S1_006_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_007_predicted,1.0,1.0,1.0,1.0,507904,0,0,0,1015808,0,0,0,507904,0,0,0,1.0
Spectralis_D3S1_008_predicted,0.9993656277656555,1.0,1.0,0.0,507904,0,0,0,1015164,0,0,644,507260,0,0,0,0.0
Spectralis_D3S1_009_predicted,0.9980508685112,1.0,0.0,0.022684309631586075,507756,0,0,148,1013796,0,425,1587,505910,0,0,18,0.017892643809318542
Spectralis_D3S1_010_predicted,0.9972261190414429,0.0,0.8450825214385986,0.0,505919,0,1985,0,1009065,29,4667,2047,503133,0,1972,0,0.5849028825759888
Spectralis_D3S1_011_predicted,0.9953837394714355,0.0,0.674487829208374,0.0,505978,0,1926,0,1007306,87,5711,2704,501328,0,1926,0,0.45306986570358276
Spectralis_D3S1_012_predicted,0.9965760111808777,0.0,0.4078688621520996,0.0,507282,0,622,0,1011102,9,3050,1647,503820,0,622,0,0.26434338092803955
Spectralis_D3S1_013_predicted,0.9957480430603027,0.0,0.2761126160621643,0.0,507448,0,456,0,1010599,430,3303,1476,503151,0,456,0,0.17508159577846527
Spectralis_D3S1_014_predicted,0.9961569309234619,0.0,0.3361569344997406,0.0,507527,0,377,0,1011168,438,2243,1959,503641,0,377,0,0.16249999403953552
Spectralis_D3S1_015_predicted,0.9982969760894775,0.0,0.47990256547927856,0.0,507313,0,591,0,1012901,62,2463,382,505588,0,591,0,0.40660473704338074
Spectralis_D3S1_016_predicted,0.9991684556007385,0.0,1.0,0.0,507904,0,0,0,1014964,331,0,513,507060,0,0,0,0.0
Spectralis_D3S1_017_predicted,0.9992295503616333,0.0,0.0,0.0,507904,0,0,0,1015026,573,62,147,507122,0,0,0,0.0
Spectralis_D3S1_018_predicted,0.9997400641441345,0.0,1.0,0.0,507904,0,0,0,1015544,214,0,50,507640,0,0,0,0.0
Spectralis_D3S1_019_predicted,0.9993301630020142,0.0,1.0,0.0,507904,0,0,0,1015128,544,0,136,507224,0,0,0,0.0
Spectralis_D4S1_001_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_002_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_003_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_004_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_005_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_006_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_007_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_008_predicted,0.9999783635139465,0.0,1.0,1.0,253952,0,0,0,507893,11,0,0,253941,0,0,0,0.0
Spectralis_D4S1_009_predicted,0.9998661279678345,0.0,1.0,1.0,253952,0,0,0,507836,68,0,0,253884,0,0,0,0.0
Spectralis_D4S1_010_predicted,0.9991185069084167,0.8346368670463562,0.0,0.0,253204,748,0,0,505964,1790,111,39,252759,747,0,0,0.7701030969619751
Spectralis_D4S1_011_predicted,0.9994549751281738,0.8184210658073425,1.0,1.0,253330,622,0,0,506384,1520,0,0,253054,622,0,0,0.8184210658073425
Spectralis_D4S1_012_predicted,0.9992761611938477,0.6997318863868713,0.0,0.0,253691,261,0,0,507015,746,106,37,253324,261,0,0,0.5871766209602356
Spectralis_D4S1_013_predicted,0.9994778037071228,0.3779527544975281,1.0,0.0,253880,72,0,0,507495,381,0,28,253615,72,0,0,0.35207822918891907
Spectralis_D4S1_014_predicted,0.9998956322669983,1.0,0.0,1.0,253952,0,0,0,507851,0,53,0,253899,0,0,0,0.0
Spectralis_D4S1_015_predicted,0.9996415376663208,0.0,1.0,1.0,253952,0,0,0,507722,182,0,0,253770,0,0,0,0.0
Spectralis_D4S1_016_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S1_017_predicted,0.9997420310974121,1.0,0.0,1.0,253952,0,0,0,507773,0,131,0,253821,0,0,0,0.0
Spectralis_D4S1_018_predicted,0.9996435046195984,1.0,0.0,1.0,253952,0,0,0,507723,0,181,0,253771,0,0,0,0.0
Spectralis_D4S1_019_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D4S2_001_predicted,0.9998477101325989,0.0,1.0,0.0,380928,0,0,0,761740,36,0,80,380812,0,0,0,0.0
Spectralis_D4S2_002_predicted,0.9999553561210632,0.0,1.0,1.0,380928,0,0,0,761822,34,0,0,380894,0,0,0,0.0
Spectralis_D4S2_003_predicted,1.0,1.0,1.0,1.0,380928,0,0,0,761856,0,0,0,380928,0,0,0,1.0
Spectralis_D4S2_004_predicted,0.9998372197151184,0.0,0.0,1.0,380928,0,0,0,761732,78,46,0,380804,0,0,0,0.0
Spectralis_D4S2_005_predicted,0.9999080896377563,0.0,1.0,1.0,380928,0,0,0,761786,70,0,0,380858,0,0,0,0.0
Spectralis_D4S2_006_predicted,0.9998161792755127,1.0,0.0,1.0,380928,0,0,0,761716,0,140,0,380788,0,0,0,0.0
Spectralis_D4S2_007_predicted,0.9999422430992126,0.0,1.0,1.0,380928,0,0,0,761812,44,0,0,380884,0,0,0,0.0
Spectralis_D4S2_008_predicted,0.9998897314071655,0.0,1.0,1.0,380928,0,0,0,761772,84,0,0,380844,0,0,0,0.0
Spectralis_D4S2_009_predicted,0.9997255206108093,0.0,0.0,1.0,380782,0,146,0,761481,229,146,0,380636,0,0,0,0.4426666796207428
Spectralis_D4S2_010_predicted,0.9992724657058716,0.7832699418067932,0.38532111048698425,1.0,380206,516,206,0,760105,1315,436,0,379776,515,84,0,0.6841804385185242
Spectralis_D4S2_011_predicted,0.9986057281494141,0.8113083243370056,0.4417670667171478,0.0,379475,1234,219,0,758111,3042,498,205,378527,1234,110,0,0.717756986618042
Spectralis_D4S2_012_predicted,0.9993391036987305,0.902023434638977,0.5396825671195984,0.0,380024,860,44,0,759592,1878,126,260,379545,847,34,0,0.778268575668335
Spectralis_D4S2_013_predicted,0.9972977042198181,0.0,0.31721195578575134,0.0,380705,0,223,0,759358,127,1406,965,378653,0,223,0,0.1785428375005722
