slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D2S1_001.tiff,0.9996907711029053,0.0,1.0,1.0,253952,0,0,0,507747,157,0,0,253795,0,0,0,0.0
Spectralis_D2S1_002.tiff,0.9991921186447144,0.0,0.0,0.0,253952,0,0,0,507494,70,265,75,253542,0,0,0,0.0
Spectralis_D2S1_003.tiff,0.9999291300773621,0.0,1.0,1.0,253952,0,0,0,507868,36,0,0,253916,0,0,0,0.0
Spectralis_D2S1_004.tiff,0.9997636675834656,0.0,1.0,1.0,253952,0,0,0,507784,120,0,0,253832,0,0,0,0.0
Spectralis_D2S1_005.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_006.tiff,0.9989907741546631,1.0,0.23920266330242157,0.0,253916,0,36,0,507320,0,301,283,253404,0,36,0,0.12328767031431198
Spectralis_D2S1_007.tiff,0.997577965259552,0.0,0.21348313987255096,0.0,253914,0,38,0,506601,298,356,649,252687,0,38,0,0.05832693725824356
Spectralis_D2S1_008.tiff,0.9966596961021423,0.0,0.29113924503326416,0.0,253814,0,138,0,505938,474,948,544,252124,0,138,0,0.14038656651973724
Spectralis_D2S1_009.tiff,0.9940656423568726,0.0,0.3333333432674408,0.0,253841,0,111,0,504687,627,666,1924,250846,0,111,0,0.06900839507579803
Spectralis_D2S1_010.tiff,0.9979145526885986,0.0,0.0,0.0,253952,0,0,0,506847,532,92,433,252895,0,0,0,0.0
Spectralis_D2S1_011.tiff,0.9998975992202759,0.0,1.0,1.0,253952,0,0,0,507852,52,0,0,253900,0,0,0,0.0
Spectralis_D2S1_012.tiff,0.9997754693031311,1.0,1.0,0.0,253952,0,0,0,507790,0,0,114,253838,0,0,0,0.0
Spectralis_D2S1_013.tiff,0.999608039855957,1.0,1.0,0.0,253952,0,0,0,507705,0,0,199,253753,0,0,0,0.0
Spectralis_D2S1_014.tiff,0.9999901652336121,0.0,1.0,1.0,253952,0,0,0,507899,5,0,0,253947,0,0,0,0.0
Spectralis_D2S1_015.tiff,0.9989849925041199,0.0,0.0,1.0,253952,0,0,0,507389,395,120,0,253437,0,0,0,0.0
Spectralis_D2S1_016.tiff,0.999580442905426,0.0,1.0,0.0,253952,0,0,0,507691,94,0,119,253739,0,0,0,0.0
Spectralis_D2S1_017.tiff,0.9997479319572449,0.0,1.0,1.0,253952,0,0,0,507776,128,0,0,253824,0,0,0,0.0
Spectralis_D2S1_018.tiff,0.9971884489059448,0.0,1.0,1.0,253952,0,0,0,506480,1424,0,0,252528,0,0,0,0.0
Spectralis_D2S1_019.tiff,0.9959752559661865,0.0,0.0,1.0,253952,0,0,0,505868,2003,33,0,251916,0,0,0,0.0
Spectralis_D3S1_001.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_002.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_003.tiff,0.9992650747299194,0.0,1.0,0.0,253952,0,0,0,507531,106,0,267,253579,0,0,0,0.0
Spectralis_D3S1_004.tiff,0.999962568283081,1.0,1.0,0.0,253937,0,0,15,507885,0,0,19,253933,0,0,0,0.0
Spectralis_D3S1_005.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_006.tiff,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_007.tiff,0.9994621872901917,1.0,1.0,0.0,253952,0,0,0,507631,0,0,273,253679,0,0,0,0.0
Spectralis_D3S1_008.tiff,0.9962827563285828,1.0,1.0,0.0,253952,0,0,0,506023,0,0,1881,252071,0,0,0,0.0
Spectralis_D3S1_009.tiff,0.9932907223701477,1.0,0.0,0.04506172984838486,253879,0,0,73,504374,0,290,3240,250495,0,0,73,0.04135977476835251
Spectralis_D3S1_010.tiff,0.994562566280365,1.0,0.8306922316551208,0.0,252954,0,998,0,503176,0,2398,2330,250220,0,996,0,0.42131978273391724
Spectralis_D3S1_011.tiff,0.9937235116958618,1.0,0.6638975143432617,0.0,252993,0,959,0,502830,0,2889,2185,249837,0,959,0,0.3780055046081543
Spectralis_D3S1_012.tiff,0.9939073324203491,0.0,0.33863013982772827,0.0,253643,0,309,0,504214,276,1825,1589,250571,0,309,0,0.16747967898845673
Spectralis_D3S1_013.tiff,0.9931327700614929,0.0,0.2658892273902893,0.0,253724,0,228,0,503987,156,1715,2046,250263,0,228,0,0.11641562730073929
Spectralis_D3S1_014.tiff,0.9944424629211426,0.0,0.3129138946533203,0.0,253763,0,189,0,504721,112,1208,1863,250958,0,189,0,0.11875589191913605
Spectralis_D3S1_015.tiff,0.9976507425308228,0.0,0.46442532539367676,0.0,253655,0,297,0,506121,244,1279,260,252466,0,297,0,0.3331463932991028
Spectralis_D3S1_016.tiff,0.9987778067588806,0.0,1.0,0.0,253952,0,0,0,507284,171,0,449,253332,0,0,0,0.0
Spectralis_D3S1_017.tiff,0.9990165829658508,0.0,0.0,0.0,253952,0,0,0,507405,356,4,139,253453,0,0,0,0.0
Spectralis_D3S1_018.tiff,0.999789297580719,0.0,1.0,1.0,253952,0,0,0,507797,107,0,0,253845,0,0,0,0.0
Spectralis_D3S1_019.tiff,0.9987343549728394,0.0,1.0,0.0,253952,0,0,0,507262,423,0,219,253310,0,0,0,0.0
Spectralis_D4S1_001.tiff,0.9991151690483093,0.0,0.0,0.0,253952,0,0,0,507455,16,9,424,253503,0,0,0,0.0
Spectralis_D4S1_002.tiff,0.9974913001060486,0.0,0.0,0.0,253952,0,0,0,506633,861,201,209,252681,0,0,0,0.0
Spectralis_D4S1_003.tiff,0.9980806112289429,0.0,1.0,0.0,253952,0,0,0,506931,660,0,313,252979,0,0,0,0.0
Spectralis_D4S1_004.tiff,0.997123122215271,0.0,0.0,0.0,253952,0,0,0,506447,1021,139,297,252495,0,0,0,0.0
Spectralis_D4S1_005.tiff,0.9980707168579102,0.0,0.0,0.0,253952,0,0,0,506926,237,94,647,252974,0,0,0,0.0
Spectralis_D4S1_006.tiff,0.9933704733848572,0.0,0.0,0.0,253952,0,0,0,504559,1857,34,1454,250607,0,0,0,0.0
Spectralis_D4S1_007.tiff,0.9963720440864563,0.0,0.0,0.0,253952,0,0,0,506068,857,9,970,252116,0,0,0,0.0
Spectralis_D4S1_008.tiff,0.9937852621078491,0.0,0.0,0.0,253952,0,0,0,504767,1163,722,1252,250815,0,0,0,0.0
Spectralis_D4S1_009.tiff,0.9968318939208984,0.0,0.0,0.0,253952,0,0,0,506300,290,69,1245,252348,0,0,0,0.0
Spectralis_D4S1_010.tiff,0.9968404173851013,0.7141491174697876,0.0,0.0,253204,748,0,0,504815,2092,120,877,251610,747,0,0,0.48365166783332825
Spectralis_D4S1_011.tiff,0.9906648397445679,0.4171696901321411,0.0,0.0,253330,622,0,0,501974,2982,12,2936,248644,622,0,0,0.20978078246116638
Spectralis_D4S1_012.tiff,0.9936411380767822,0.3305889666080475,0.0,0.0,253691,261,0,0,504176,1579,197,1952,250485,261,0,0,0.1400214582681656
Spectralis_D4S1_013.tiff,0.9952131509780884,0.07933884114027023,0.0,0.0,253880,72,0,0,505341,1815,18,730,251461,72,0,0,0.056184157729148865
Spectralis_D4S1_014.tiff,0.9976910948753357,0.0,0.0,0.0,253952,0,0,0,506734,142,61,967,252782,0,0,0,0.0
Spectralis_D4S1_015.tiff,0.9932686686515808,0.0,0.0,0.0,253952,0,0,0,504508,899,295,2202,250556,0,0,0,0.0
Spectralis_D4S1_016.tiff,0.9942495226860046,0.0,0.0,0.0,253952,0,0,0,505000,1315,3,1586,251048,0,0,0,0.0
Spectralis_D4S1_017.tiff,0.9926497340202332,0.0,0.0,0.0,253952,0,0,0,504198,1352,132,2222,250246,0,0,0,0.0
Spectralis_D4S1_018.tiff,0.993352472782135,0.0,0.0,0.0,253952,0,0,0,504550,1911,600,843,250598,0,0,0,0.0
Spectralis_D4S1_019.tiff,0.9927356243133545,0.0,0.0,0.0,253952,0,0,0,504241,1439,192,2032,250289,0,0,0,0.0
Spectralis_D4S2_001.tiff,0.9981635808944702,0.0,0.0,0.0,253952,0,0,0,506973,676,125,130,253021,0,0,0,0.0
Spectralis_D4S2_002.tiff,0.9974675178527832,0.0,0.0,0.0,253952,0,0,0,506621,480,298,505,252669,0,0,0,0.0
Spectralis_D4S2_003.tiff,0.9996671676635742,0.0,0.0,0.0,253952,0,0,0,507735,22,20,127,253783,0,0,0,0.0
Spectralis_D4S2_004.tiff,0.9990402460098267,0.0,0.0,0.0,253952,0,0,0,507417,37,177,273,253465,0,0,0,0.0
Spectralis_D4S2_005.tiff,0.9977484345436096,0.0,0.0,0.0,253952,0,0,0,506763,137,498,506,252811,0,0,0,0.0
Spectralis_D4S2_006.tiff,0.9967368245124817,1.0,0.0,0.0,253952,0,0,0,506252,0,330,1322,252300,0,0,0,0.0
Spectralis_D4S2_007.tiff,0.9985587000846863,0.0,0.0,0.0,253952,0,0,0,507173,518,56,157,253221,0,0,0,0.0
Spectralis_D4S2_008.tiff,0.9974694848060608,0.0,1.0,0.0,253952,0,0,0,506622,89,0,1193,252670,0,0,0,0.0
Spectralis_D4S2_009.tiff,0.9963632822036743,0.0,0.0,0.0,253856,0,96,0,505948,290,101,1565,252054,0,0,0,0.059304703027009964
Spectralis_D4S2_010.tiff,0.9976537823677063,0.5021770596504211,0.3411371111869812,0.0,253467,346,139,0,505923,1378,299,304,252368,346,51,0,0.4008076786994934
Spectralis_D4S2_011.tiff,0.9961223602294922,0.673701286315918,0.26851850748062134,0.0,252978,830,144,0,504173,2464,432,835,251109,830,58,0,0.4760117828845978
Spectralis_D4S2_012.tiff,0.9974576234817505,0.8761467933654785,0.05815831944346428,0.0,253346,577,29,0,505437,1308,619,540,252076,573,18,0,0.4791244566440582
Spectralis_D4S2_013.tiff,0.9946763515472412,0.0,0.2946954667568207,0.0,253802,0,150,0,504916,613,1018,1357,251114,0,150,0,0.1004016101360321
Spectralis_D4S2_014.tiff,0.9969879984855652,0.2078651636838913,0.0,0.0,253915,37,0,0,506305,356,59,1184,252390,37,0,0,0.046278923749923706
Spectralis_D4S2_015.tiff,0.9974319338798523,0.0,0.0,0.0,253952,0,0,0,506603,80,176,1045,252651,0,0,0,0.0
Spectralis_D4S2_016.tiff,0.9937732815742493,0.0,0.0,0.0,253952,0,0,0,504761,682,43,2418,250809,0,0,0,0.0
Spectralis_D4S2_017.tiff,0.995689332485199,0.0,0.0,0.0,253952,0,0,0,505724,777,4,1399,251772,0,0,0,0.0
Spectralis_D4S2_018.tiff,0.9937753081321716,0.0,0.0,0.0,253952,0,0,0,504762,781,56,2305,250810,0,0,0,0.0
Spectralis_D4S2_019.tiff,0.9952548742294312,0.0,0.42690059542655945,0.0,253868,0,84,0,505360,736,342,1466,251481,0,73,0,0.057389937341213226
Spectralis_D5S2_001.tiff,0.9954443573951721,0.0,0.758639931678772,0.0,252591,0,1361,0,502891,288,3588,1137,250300,0,1361,0,0.5429882407188416
Spectralis_D5S2_002.tiff,0.9911078810691833,0.0,0.7898209095001221,0.0,252272,0,1680,0,500105,2463,4244,1092,247829,0,1676,0,0.4297986924648285
Spectralis_D5S2_003.tiff,0.9929397702217102,0.0,0.6488499641418457,0.0,252471,0,1481,0,501402,640,4565,1297,248931,0,1481,0,0.4555521309375763
Spectralis_D5S2_004.tiff,0.9902302622795105,0.0,0.6715127825737,0.0,252243,0,1709,0,499605,1174,5090,2035,247362,0,1709,0,0.41185685992240906
Spectralis_D5S2_005.tiff,0.9895179867744446,0.0,0.7260487079620361,0.0,251849,0,2103,0,498473,1451,5793,2187,246624,0,2103,0,0.44597604870796204
Spectralis_D5S2_006.tiff,0.989014744758606,0.0,0.7977293729782104,0.0,250507,0,3445,0,495574,1348,8632,2350,245065,0,3443,0,0.5584752559661865
Spectralis_D5S2_007.tiff,0.9878526329994202,0.0,0.7934542298316956,0.0,249466,0,4486,0,492946,547,11305,3106,243479,0,4485,0,0.5996791124343872
Spectralis_D5S2_008.tiff,0.9890287518501282,0.0,0.8398669958114624,0.0,248518,0,5434,0,491648,412,12933,2911,243127,0,5431,0,0.6681840419769287
Spectralis_D5S2_009.tiff,0.9857377409934998,0.0,0.7921267151832581,0.0,249827,0,4125,0,492628,330,10415,4531,242801,0,4125,0,0.5400628447532654
Spectralis_D5S2_010.tiff,0.9798967242240906,0.0,0.6802210211753845,0.0,250873,0,3079,0,491860,2653,9050,4341,240986,0,3078,0,0.3836948275566101
Spectralis_D5S2_011.tiff,0.9834715127944946,0.0,0.7102847099304199,0.0,250888,0,3064,0,493633,1813,8605,3853,242737,0,3056,0,0.42828112840652466
Spectralis_D5S2_012.tiff,0.983651340007782,0.0,0.7557019591331482,0.0,250965,0,2987,0,493864,948,7892,5200,242895,0,2982,0,0.42492878437042236
Spectralis_D5S2_013.tiff,0.9842367768287659,0.0,0.6142662167549133,0.0,252597,0,1355,0,497360,1216,4402,4926,244760,0,1352,0,0.2564491629600525
Spectralis_D5S2_014.tiff,0.9831975698471069,0.0,0.0,0.0,253952,0,0,0,499511,1857,1128,5408,245559,0,0,0,0.0
Spectralis_D5S2_015.tiff,0.9830896854400635,0.0,0.0,0.0,253952,0,0,0,499458,643,735,7068,245506,0,0,0,0.0
Spectralis_D5S2_016.tiff,0.9942256212234497,0.0,0.0,0.0,253952,0,0,0,504988,404,137,2375,251036,0,0,0,0.0
Spectralis_D5S2_017.tiff,0.9969567060470581,0.0,1.0,0.0,253952,0,0,0,506363,128,0,1413,252411,0,0,0,0.0
