Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.5911553936384735 (0.40166134492155525),0.9545202115550637 (0.15380246256342142),0.984375 (0.12450690143095285)
TRAIN012,0.8984375 (0.30325903664538434),0.8121892461786047 (0.24113936835013255),0.8841854578349739 (0.22061859889895372)
TRAIN014,0.9453125 (0.22826265262341353),0.8965657664230093 (0.13588065645715325),0.8485641508596018 (0.24714209787259742)
TRAIN016,0.6295240635081427 (0.2895923907271476),0.9375 (0.24301258837812542),1.0 (0.0)
TRAIN027,0.3112909176519939 (0.3224024904286321),0.6501012468824581 (0.4500715919559255),0.9591836734693877 (0.199914947901746)
TRAIN033,0.21552713905290075 (0.3172820597381941),0.5459232816890794 (0.4140728632838593),0.5635721878889872 (0.43473713536929465)
TRAIN039,0.37523577483941095 (0.29713851615399495),0.9591836734693877 (0.199914947901746),0.9795918367346939 (0.14285714285714285)
TRAIN042,0.5443260219632363 (0.4938854934547201),0.8303117052632936 (0.2162170788562394),0.7975370251402563 (0.23515262415064284)
TRAIN048,0.4416931873681594 (0.3374700376261724),0.8163265306122449 (0.3912303982179759),0.9591836734693877 (0.199914947901746)
TRAIN062,0.7808009597938508 (0.2863870752977865),1.0 (0.0),0.96875 (0.17536809360305045)
TRAIN063,0.8125 (0.39184602471712554),0.802115727448836 (0.2906393142004815),0.47985819439054467 (0.44641960309626283)
TRAIN064,0.667758574069012 (0.45220843681647555),0.8515625 (0.3569301250570318),0.4296875 (0.49697658732223665)
TRAIN067,0.6933516127755865 (0.4029490866557336),0.9921875 (0.08838834764831843),0.9921875 (0.08838834764831843)
TRAIN068,0.8284254381433129 (0.23722007667898834),0.9477339661680162 (0.19767551549366608),0.921875 (0.2694226840434289)
