Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.3751628704475941 (0.27502679683472697),0.5481826762358347 (0.2605628982742378),nan (nan)
TRAIN012,nan (nan),0.7684962237475529 (0.17259595637544697),0.7870446926560896 (0.19290928427859202)
TRAIN014,nan (nan),0.7925575210247189 (0.12038263901293486),0.6169223791609207 (0.22797251974649196)
TRAIN016,0.4655881157029689 (0.23729456893074297),nan (nan),nan (nan)
TRAIN027,0.37357310180862746 (0.22812136601585795),0.736626149578528 (0.20216446731384857),nan (nan)
TRAIN033,0.22182548553277942 (0.19716939287937776),0.3433838951203859 (0.3559753408326662),0.49271389935165644 (0.2171811115128145)
TRAIN039,0.37864069798160926 (0.16890336866754316),nan (nan),nan (nan)
TRAIN042,0.051896107072631516 (0.06767481337626276),0.7353783368300169 (0.2781559570051681),0.7007465968871939 (0.15161469876657296)
TRAIN048,0.28653767198945085 (0.16308167133362306),nan (nan),nan (nan)
TRAIN062,0.4669336716716106 (0.19410772773047363),nan (nan),nan (nan)
TRAIN063,nan (nan),0.6906370493407185 (0.2744988414691099),0.5383215272748793 (0.25415458395562995)
TRAIN064,0.43285236942271393 (0.3858156565572097),nan (nan),nan (nan)
TRAIN067,0.34801326061670596 (0.30567227472030495),nan (nan),nan (nan)
TRAIN068,0.5730321347713471 (0.14994303745704007),0.44628738292625975 (0.19301443898182247),nan (nan)
