Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.5912591540483666 (0.24505824946444524),0.6683827489614487 (0.22545869234005417),nan (nan)
TRAIN012,nan (nan),0.7935088725671882 (0.17292578040510156),0.7971664168711367 (0.19877455718116868)
TRAIN014,nan (nan),0.8298433683812618 (0.09400209558980313),0.7297252950568994 (0.19105619415619282)
TRAIN016,0.6939895530951392 (0.14351769127086902),nan (nan),nan (nan)
TRAIN027,0.7240853889534871 (0.21191024041227693),0.7577903839674863 (0.23362383738771286),nan (nan)
TRAIN033,0.3659409151776977 (0.2701666770351186),0.5048320374705575 (0.33794148347302894),0.5609401427209377 (0.26199996112076845)
TRAIN039,0.7366524436511099 (0.13549926934801865),nan (nan),nan (nan)
TRAIN042,0.33685821294784546 (0.29203922821051953),0.8215588621604137 (0.254757089075742),0.7811968234078638 (0.11740495494215061)
TRAIN048,0.7125945816437403 (0.10760198710881859),nan (nan),nan (nan)
TRAIN062,0.7060713309508103 (0.10633114383826987),nan (nan),nan (nan)
TRAIN063,nan (nan),0.7703011943203574 (0.20935041017078435),0.5884682274348026 (0.20428465042023883)
TRAIN064,0.46998680796888137 (0.323694462906178),nan (nan),nan (nan)
TRAIN067,0.5152831271989271 (0.3641251763874704),nan (nan),nan (nan)
TRAIN068,0.7510152363777161 (0.08104758087776211),0.4601980572832482 (0.2559339142673385),nan (nan)
