Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.746268656716418 (0.43842982860290686),0.9827586206896551 (0.1307342888184411),0.984375 (0.12450690143095285)
TRAIN012,0.8984375 (0.30325903664538434),0.9090909090909091 (0.29080336345115265),0.9714285714285714 (0.1678015193509294)
TRAIN014,0.9453125 (0.22826265262341353),1.0 (0.0),0.975 (0.15710997518871123)
TRAIN016,1.0 (0.0),0.9375 (0.24301258837812542),1.0 (0.0)
TRAIN027,0.21052631578947367 (0.4188539082916955),0.631578947368421 (0.48885152952935146),0.9591836734693877 (0.199914947901746)
TRAIN033,0.19230769230769232 (0.40191847623425014),0.875 (0.3415650255319866),0.6060606060606061 (0.49619766344887317)
TRAIN039,0.11764705882352941 (0.3321055820775357),0.9591836734693877 (0.199914947901746),0.9795918367346939 (0.14285714285714285)
TRAIN042,0.5652173913043478 (0.5012062743707415),1.0 (0.0),0.9 (0.3077935056255462)
TRAIN048,0.47368421052631576 (0.512989176042577),0.8163265306122449 (0.3912303982179759),0.9591836734693877 (0.199914947901746)
TRAIN062,0.9736842105263158 (0.16222142113076254),1.0 (0.0),0.96875 (0.17536809360305045)
TRAIN063,0.8125 (0.39184602471712554),0.9259259259259259 (0.2643505285727147),0.46153846153846156 (0.5012804118276027)
TRAIN064,0.7 (0.46035486910055284),0.8515625 (0.3569301250570318),0.4296875 (0.49697658732223665)
TRAIN067,0.9210526315789473 (0.2714483570153185),0.9921875 (0.08838834764831843),0.9921875 (0.08838834764831843)
TRAIN068,0.9743589743589743 (0.1590849625452554),0.9752066115702479 (0.15614149124834245),0.921875 (0.2694226840434289)
