Volume,dice_SRF
TRAIN004,0.795024255994989 (0.0853871965495289)
TRAIN007,nan (nan)
TRAIN018,nan (nan)
TRAIN022,nan (nan)
TRAIN024,nan (nan)
TRAIN026,nan (nan)
TRAIN034,nan (nan)
TRAIN040,0.6743751503527164 (0.25712771775395216)
TRAIN043,0.7918215346336365 (0.20216753795277126)
TRAIN044,0.7855750186575784 (0.269048457706863)
TRAIN052,0.6157830575337777 (0.29725101049195574)
TRAIN054,0.762497331414904 (0.08749541689669085)
TRAIN059,0.6729820907115937 (0.1351308692014183)
TRAIN069,0.18238992989063263 (0.25793831249161064)
