Volume,dice_PED
TRAIN001,nan (nan)
TRAIN010,nan (nan)
TRAIN011,0.19515614499422637 (0.13640876053685488)
TRAIN013,0.5154843998677803 (0.14495755622034373)
TRAIN015,0.5316431447863579 (0.14029168755047378)
TRAIN028,0.5791058255867525 (0.25240099376431835)
TRAIN029,nan (nan)
TRAIN032,nan (nan)
TRAIN041,nan (nan)
TRAIN046,0.6378271049436401 (0.17938503592530114)
TRAIN049,0.4321313908901708 (0.15559742763244327)
TRAIN050,0.6306685751134699 (0.11399366834764758)
TRAIN051,nan (nan)
TRAIN056,nan (nan)
