slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D2S1_001_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_002_predicted,0.9998089671134949,0.0,1.0,1.0,253952,0,0,0,507807,97,0,0,253855,0,0,0,0.0
Spectralis_D2S1_003_predicted,0.9999803304672241,0.0,1.0,1.0,253952,0,0,0,507894,10,0,0,253942,0,0,0,0.0
Spectralis_D2S1_004_predicted,0.9999271631240845,0.0,1.0,1.0,253952,0,0,0,507867,37,0,0,253915,0,0,0,0.0
Spectralis_D2S1_005_predicted,0.9999783635139465,0.0,0.0,1.0,253952,0,0,0,507893,2,9,0,253941,0,0,0,0.0
Spectralis_D2S1_006_predicted,0.9993162155151367,0.0,0.2857142984867096,0.0,253916,0,36,0,507485,68,252,99,253569,0,36,0,0.1718377023935318
Spectralis_D2S1_007_predicted,0.9985367655754089,0.0,0.35467979311943054,0.0,253914,0,38,0,507090,98,203,513,253174,0,36,0,0.08845208585262299
Spectralis_D2S1_008_predicted,0.9979806542396545,1.0,0.4094955623149872,0.0,253814,0,138,0,506605,0,674,625,252791,0,138,0,0.2124711275100708
Spectralis_D2S1_009_predicted,0.9951785802841187,0.0,0.40072202682495117,0.0,253841,0,111,0,505246,149,554,1955,251405,0,111,0,0.08352144807577133
Spectralis_D2S1_010_predicted,0.9991467595100403,0.0,0.0,0.0,253952,0,0,0,507471,266,49,118,253519,0,0,0,0.0
Spectralis_D2S1_011_predicted,0.9998168349266052,0.0,0.0,1.0,253952,0,0,0,507811,60,33,0,253859,0,0,0,0.0
Spectralis_D2S1_012_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_013_predicted,0.9998444318771362,0.0,1.0,1.0,253952,0,0,0,507825,79,0,0,253873,0,0,0,0.0
Spectralis_D2S1_014_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_015_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_016_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D2S1_017_predicted,0.9999173283576965,0.0,0.0,1.0,253952,0,0,0,507862,39,3,0,253910,0,0,0,0.0
Spectralis_D2S1_018_predicted,0.9999783635139465,0.0,1.0,1.0,253952,0,0,0,507893,11,0,0,253941,0,0,0,0.0
Spectralis_D2S1_019_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_001_predicted,0.9999921321868896,1.0,0.0,1.0,253952,0,0,0,507900,0,4,0,253948,0,0,0,0.0
Spectralis_D3S1_002_predicted,1.0,1.0,1.0,1.0,253952,0,0,0,507904,0,0,0,253952,0,0,0,1.0
Spectralis_D3S1_003_predicted,0.9992019534111023,1.0,1.0,0.0,253952,0,0,0,507499,0,0,405,253547,0,0,0,0.0
Spectralis_D3S1_004_predicted,0.9992295503616333,1.0,1.0,0.07125891000032425,253937,0,0,15,507483,0,0,421,253546,0,0,15,0.07125891000032425
