Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.6656225460465066 (0.3718722062163861),0.9516302160918713 (0.18132707891548527),0.3828125 (0.4879830536298585)
TRAIN012,0.6484375 (0.47933424548809117),0.6992471072589979 (0.28752222096122076),0.504292173543945 (0.40388721917055476)
TRAIN014,0.7265625 (0.4474748706268539),0.7796553154475987 (0.2885617618086663),0.27033608699730394 (0.36407389078371505)
TRAIN016,0.7465676121646538 (0.22542989260072316),0.71875 (0.4513758494650715),0.5546875 (0.4989531363599838)
TRAIN027,0.61424606187003 (0.3795851701241493),0.5120229611591417 (0.4619503338653298),0.0 (0.0)
TRAIN033,0.46293731828277207 (0.4047599922628229),0.6518987189332137 (0.37154893387961424),0.2674043561731066 (0.35850931831048277)
TRAIN039,0.5682822733509297 (0.36175866632536136),0.6122448979591837 (0.4922874554317936),0.10204081632653061 (0.3058388709205983)
TRAIN042,0.7279645532977824 (0.4332593606774925),0.7059992959304732 (0.2932514637309164),0.4184242669416934 (0.36642391699010457)
TRAIN048,0.7675212414897218 (0.24968627566280366),0.673469387755102 (0.4738035414793428),0.10204081632653061 (0.3058388709205983)
TRAIN062,0.848211717326194 (0.22426108164365846),1.0 (0.0),0.921875 (0.27048970875004197)
TRAIN063,0.828125 (0.37875417411488527),0.6360573283509439 (0.3637064357249595),0.26497796922922134 (0.37185108080460083)
TRAIN064,0.7302356137661263 (0.4173322158309366),0.828125 (0.3787541741148852),0.0703125 (0.25667755285909255)
TRAIN067,0.7556566996499896 (0.35033824890599874),0.9609375 (0.19450497433065844),0.859375 (0.3490002594588752)
TRAIN068,0.9046859233640134 (0.15729510391027854),0.9612660565180704 (0.1681433438111418),0.734375 (0.4434008690887529)
