Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.6426178015402106 (0.22668300082933457),0.7340556383132935 (0.23864280608251723),nan (nan)
TRAIN012,nan (nan),0.6131384491565681 (0.20550452220350846),0.681886176096982 (0.1510448352782401)
TRAIN014,nan (nan),0.7155606308951974 (0.159944515120228),0.4708962319928105 (0.2746213094149342)
TRAIN016,0.7171201480110896 (0.14116736611872097),nan (nan),nan (nan)
TRAIN027,0.7366019010543823 (0.19706619303342307),0.735375008799813 (0.11864948871021265),nan (nan)
TRAIN033,0.37756211286329705 (0.2222187607490827),0.48312234023416584 (0.3422134241098268),0.506425840780139 (0.19487842074840026)
TRAIN039,0.7451822310686111 (0.10419127815949109),nan (nan),nan (nan)
TRAIN042,0.5567543705304464 (0.15332514182911067),0.7588196282203381 (0.16972590869986728),0.7069927269014818 (0.13736462212153575)
TRAIN048,0.7202846944332123 (0.10060644730235527),nan (nan),nan (nan)
TRAIN062,0.664828842649093 (0.16996098803577328),nan (nan),nan (nan)
TRAIN063,nan (nan),0.5461532166070381 (0.2747780348281455),0.4842481097659549 (0.22801344119312517)
TRAIN064,0.3594532534480095 (0.24836213052756662),nan (nan),nan (nan)
TRAIN067,0.552385722215359 (0.3071375654437161),nan (nan),nan (nan)
TRAIN068,0.7959959638118744 (0.06763811944193118),0.43457931918757303 (0.30130391770406073),nan (nan)
