Volume,dice_IRF,dice_SRF,dice_PED
TRAIN002,0.6865671641791045 (0.46738976090886103),0.9741379310344828 (0.15941233908663868),0.3828125 (0.4879830536298585)
TRAIN012,0.6484375 (0.47933424548809117),0.8636363636363636 (0.34714175717877416),0.35714285714285715 (0.48261708906584)
TRAIN014,0.7265625 (0.4474748706268539),0.84375 (0.3659625273556999),0.15 (0.35932426031459797)
TRAIN016,0.8387096774193549 (0.373878250552983),0.71875 (0.4513758494650715),0.5546875 (0.4989531363599838)
TRAIN027,0.42105263157894735 (0.5072572735017881),0.4473684210526316 (0.5038966228735666),0.0 (0.0)
TRAIN033,0.5384615384615384 (0.508391127441794),1.0 (0.0),0.15151515151515152 (0.36410954062720957)
TRAIN039,0.23529411764705882 (0.4372373160976031),0.6122448979591837 (0.4922874554317936),0.10204081632653061 (0.3058388709205983)
TRAIN042,0.7391304347826086 (0.44396108982135163),0.5 (0.5270462766947299),0.0 (0.0)
TRAIN048,0.8421052631578947 (0.3746343246326776),0.673469387755102 (0.4738035414793428),0.10204081632653061 (0.3058388709205983)
TRAIN062,0.9736842105263158 (0.16222142113076252),1.0 (0.0),0.921875 (0.27048970875004197)
TRAIN063,0.828125 (0.37875417411488527),0.7592592592592593 (0.4315476835930594),0.17582417582417584 (0.3827795011754763)
TRAIN064,0.7909090909090909 (0.4085205921719538),0.828125 (0.3787541741148852),0.0703125 (0.25667755285909255)
TRAIN067,0.8947368421052632 (0.30893137828849315),0.9609375 (0.19450497433065844),0.859375 (0.3490002594588752)
TRAIN068,0.9743589743589743 (0.1590849625452554),0.9917355371900827 (0.0909090909090909),0.734375 (0.4434008690887529)
