Volume,dice_IRF
TRAIN018,0.603758582379669 (0.48720770881449654)
TRAIN019,0.6568419206887484 (0.4265613106359372)
TRAIN020,0.3054895050008781 (0.3941769869177432)
TRAIN021,0.6926932106725872 (0.37388291265035056)
TRAIN023,0.65625 (0.47682513013096256)
TRAIN029,0.8674436661661887 (0.22544261355906997)
TRAIN034,0.6915657137121473 (0.3409281638014151)
TRAIN035,0.4489795918367347 (0.5025445456953673)
TRAIN037,0.6519221575284491 (0.13987349531787427)
TRAIN040,0.7865872328378716 (0.24282116117285157)
TRAIN050,0.3348515237448737 (0.406048254486107)
TRAIN055,0.2502442952245474 (0.43034635041283353)
TRAIN060,0.3023634940327611 (0.4021763302200891)
TRAIN070,0.3525025916751474 (0.43235945021936345)
