Volume,dice_PED
TRAIN001,0.53125 (0.5009832851188788)
TRAIN010,0.59375 (0.49306210178888465)
TRAIN011,0.16009809111710638 (0.3093144973059764)
TRAIN013,0.4084081188775599 (0.3501230535074683)
TRAIN015,0.46764507645275444 (0.3084075105861063)
TRAIN028,0.7599825037985432 (0.3823378189605414)
TRAIN029,0.8163265306122449 (0.3912303982179758)
TRAIN032,0.1836734693877551 (0.3912303982179758)
TRAIN041,0.6326530612244898 (0.4870779177494949)
TRAIN046,0.6175574222389533 (0.3869673732727558)
TRAIN049,0.6847533488180488 (0.4125471927789593)
TRAIN050,0.8377729135099798 (0.2741950836195634)
TRAIN051,0.7265625 (0.44747487062685387)
TRAIN056,0.765625 (0.4269562819149833)
