Volume,dice_PED
TRAIN005,0.0 (0.0)
TRAIN009,0.10526315789473684 (0.3082471440524439)
TRAIN011,0.02830188679245283 (0.16662173698080737)
TRAIN018,0.46875 (0.500983285118879)
TRAIN019,0.453125 (0.4997538764310628)
TRAIN028,0.6578947368421053 (0.48078290821993175)
TRAIN030,0.5294117647058824 (0.5144957554275266)
TRAIN035,0.23076923076923078 (0.4385290096535146)
TRAIN037,0.22448979591836735 (0.4215697907053756)
TRAIN047,0.46938775510204084 (0.5042337758225565)
TRAIN051,0.3984375 (0.4915000941197113)
TRAIN056,0.421875 (0.4977628523130841)
TRAIN057,0.4117647058823529 (0.49955416843564227)
TRAIN059,0.40625 (0.49306210178888454)
