Volume,dice_IRF
TRAIN003,0.6295607710878054 (0.21320964862998562)
TRAIN005,nan (nan)
TRAIN006,0.6243839970260274 (0.2756988488789276)
TRAIN009,0.38644429860082835 (0.23049698799776017)
TRAIN020,0.20180656521448068 (0.14353664084641476)
TRAIN030,0.4470697007828245 (0.2791564106618262)
TRAIN036,0.6387602531391642 (0.20560874961659562)
TRAIN038,nan (nan)
TRAIN045,0.5170278149215799 (0.275937594112615)
TRAIN047,0.6780485523243746 (0.15639584864725647)
TRAIN055,0.14127516001462936 (0.1813031268875481)
TRAIN058,nan (nan)
TRAIN061,0.7176134996819046 (0.17250581754571248)
TRAIN066,0.774658106659588 (0.16824613524359416)
