Volume,dice_IRF
TRAIN003,0.7608695652173914 (0.42888983235128625)
TRAIN005,0.6640625 (0.4741730264946733)
TRAIN006,0.24675324675324675 (0.4339489466650291)
TRAIN009,0.8021978021978022 (0.40054907369704457)
TRAIN020,0.4177215189873418 (0.49633515704686876)
TRAIN030,0.5666666666666667 (0.5040069329937309)
TRAIN036,0.4230769230769231 (0.503831473655779)
TRAIN038,0.4489795918367347 (0.5025445456953673)
TRAIN045,0.6 (0.4982728791224398)
TRAIN047,0.8 (0.40824829046386296)
TRAIN055,0.8467741935483871 (0.3616663071155459)
TRAIN058,0.53125 (0.500983285118879)
TRAIN061,0.9333333333333333 (0.25112360116696136)
TRAIN066,0.9111111111111111 (0.28617761611461456)
