Volume,dice_SRF
TRAIN003,0.9375 (0.24301258837812548)
TRAIN005,0.5655913545488147 (0.407245052313985)
TRAIN006,0.671875 (0.4713755210973134)
TRAIN009,0.8203125 (0.3854355088676483)
TRAIN020,0.7179110958240926 (0.2498598699235462)
TRAIN030,0.8796254633640757 (0.25038565923377976)
TRAIN036,0.6326530612244898 (0.4870779177494949)
TRAIN038,0.9188206889191453 (0.08347914030836667)
TRAIN045,0.5918367346938775 (0.49658699082414787)
TRAIN047,0.8571428571428571 (0.3535533905932737)
TRAIN055,0.8671875 (0.3407054688956916)
TRAIN058,0.96875 (0.1746763035549529)
TRAIN061,0.7695105115417391 (0.30255750094229356)
TRAIN066,1.0 (0.0)
