slice,dice_Background,dice_IRF,voxels_Background,voxels_IRF,union_Background,union_IRF,intersection_Background,intersection_IRF,binary_dice
Cirrus_TRAIN003_000.tiff,0.9984836578369141,0.0,253952,0,507135,769,253183,0,0.0
Cirrus_TRAIN003_001.tiff,0.998785674571991,0.0,253952,0,507288,616,253336,0,0.0
Cirrus_TRAIN003_002.tiff,0.998084545135498,0.0,253952,0,506933,971,252981,0,0.0
Cirrus_TRAIN003_003.tiff,0.9992749094963074,0.0,253952,0,507536,368,253584,0,0.0
Cirrus_TRAIN003_004.tiff,0.9996671676635742,0.0,253952,0,507735,169,253783,0,0.0
Cirrus_TRAIN003_005.tiff,0.9995607733726501,0.0,253952,0,507681,223,253729,0,0.0
Cirrus_TRAIN003_006.tiff,0.9997991323471069,0.0,253952,0,507802,102,253850,0,0.0
Cirrus_TRAIN003_007.tiff,0.9996789693832397,0.0,253952,0,507741,163,253789,0,0.0
Cirrus_TRAIN003_008.tiff,0.9994996786117554,0.0,253952,0,507650,254,253698,0,0.0
Cirrus_TRAIN003_009.tiff,0.9995489120483398,0.0,253952,0,507675,229,253723,0,0.0
Cirrus_TRAIN003_010.tiff,0.9994405508041382,0.0,253952,0,507620,284,253668,0,0.0
Cirrus_TRAIN003_011.tiff,0.9993281364440918,0.0,253952,0,507563,341,253611,0,0.0
Cirrus_TRAIN003_012.tiff,0.9994760155677795,0.0,253952,0,507638,266,253686,0,0.0
Cirrus_TRAIN003_013.tiff,0.9985883235931396,0.0,253952,0,507188,716,253236,0,0.0
Cirrus_TRAIN003_014.tiff,0.9997873306274414,0.0,253952,0,507796,108,253844,0,0.0
Cirrus_TRAIN003_015.tiff,0.9999547004699707,0.0,253952,0,507881,23,253929,0,0.0
Cirrus_TRAIN003_016.tiff,0.999030351638794,0.0,253952,0,507412,492,253460,0,0.0
Cirrus_TRAIN003_017.tiff,0.9998208284378052,0.0,253952,0,507813,91,253861,0,0.0
Cirrus_TRAIN003_018.tiff,0.9992039203643799,0.0,253952,0,507500,404,253548,0,0.0
Cirrus_TRAIN003_019.tiff,0.9996533393859863,0.0,253952,0,507728,176,253776,0,0.0
Cirrus_TRAIN003_020.tiff,0.9989475011825562,0.0,253952,0,507370,534,253418,0,0.0
Cirrus_TRAIN003_021.tiff,0.9998661279678345,0.0,253952,0,507836,68,253884,0,0.0
Cirrus_TRAIN003_022.tiff,0.9990343451499939,0.0,253952,0,507414,490,253462,0,0.0
Cirrus_TRAIN003_023.tiff,0.9997105002403259,0.0,253952,0,507757,147,253805,0,0.0
Cirrus_TRAIN003_024.tiff,0.9991565942764282,0.0,253952,0,507476,428,253524,0,0.0
Cirrus_TRAIN003_025.tiff,0.9998739957809448,0.0,253952,0,507840,64,253888,0,0.0
Cirrus_TRAIN003_026.tiff,0.9999566674232483,0.0,253952,0,507882,22,253930,0,0.0
Cirrus_TRAIN003_027.tiff,0.9999665021896362,0.0,253952,0,507887,17,253935,0,0.0
Cirrus_TRAIN003_028.tiff,0.998775839805603,0.0,253952,0,507283,621,253331,0,0.0
Cirrus_TRAIN003_029.tiff,0.9991092681884766,0.0,253952,0,507452,452,253500,0,0.0
Cirrus_TRAIN003_030.tiff,0.9997774958610535,0.0,253952,0,507791,113,253839,0,0.0
Cirrus_TRAIN003_031.tiff,0.9993715286254883,0.0,253952,0,507585,319,253633,0,0.0
Cirrus_TRAIN003_032.tiff,0.9997518658638,0.0,253952,0,507778,126,253826,0,0.0
Cirrus_TRAIN003_033.tiff,0.9993439316749573,0.0,253952,0,507571,333,253619,0,0.0
Cirrus_TRAIN003_034.tiff,0.9995824098587036,0.0,253952,0,507692,212,253740,0,0.0
Cirrus_TRAIN003_035.tiff,0.9999487996101379,0.0,253952,0,507878,26,253926,0,0.0
Cirrus_TRAIN003_036.tiff,0.9997498989105225,0.0,253952,0,507777,127,253825,0,0.0
Cirrus_TRAIN003_037.tiff,0.9991664886474609,0.0,253952,0,507481,423,253529,0,0.0
Cirrus_TRAIN003_038.tiff,0.9992887377738953,0.0,253952,0,507543,361,253591,0,0.0
Cirrus_TRAIN003_039.tiff,0.9989672303199768,0.0,253952,0,507380,524,253428,0,0.0
Cirrus_TRAIN003_040.tiff,0.9994838833808899,0.0,253952,0,507642,262,253690,0,0.0
Cirrus_TRAIN003_041.tiff,0.9999547004699707,0.0,253952,0,507881,23,253929,0,0.0
Cirrus_TRAIN003_042.tiff,0.9996513724327087,0.0,253952,0,507727,177,253775,0,0.0
Cirrus_TRAIN003_043.tiff,0.9993399977684021,0.0,253952,0,507569,335,253617,0,0.0
Cirrus_TRAIN003_044.tiff,0.9996848702430725,0.0,253952,0,507744,160,253792,0,0.0
Cirrus_TRAIN003_045.tiff,0.9998798966407776,0.0,253952,0,507843,61,253891,0,0.0
Cirrus_TRAIN003_046.tiff,0.9994188547134399,0.0,253952,0,507609,295,253657,0,0.0
Cirrus_TRAIN003_047.tiff,0.9991940855979919,0.0,253952,0,507495,409,253543,0,0.0
Cirrus_TRAIN003_048.tiff,0.9987165927886963,0.0,253952,0,507253,651,253301,0,0.0
Cirrus_TRAIN003_049.tiff,0.9976396560668945,0.0,253952,0,506708,1196,252756,0,0.0
Cirrus_TRAIN003_050.tiff,0.998023271560669,0.0,253952,0,506902,1002,252950,0,0.0
Cirrus_TRAIN003_051.tiff,0.9953277707099915,0.0,253952,0,505542,2362,251590,0,0.0
Cirrus_TRAIN003_052.tiff,0.9937055110931396,0.0,253952,0,504727,3177,250775,0,0.0
Cirrus_TRAIN003_053.tiff,0.9960605502128601,0.0,253952,0,505911,1993,251959,0,0.0
Cirrus_TRAIN003_054.tiff,0.9932039380073547,0.0960422158241272,253770,182,504114,3790,250344,182,0.0960422158241272
Cirrus_TRAIN003_055.tiff,0.9986110925674438,0.3111546039581299,253789,163,506882,1022,253089,159,0.3111546039581299
Cirrus_TRAIN003_056.tiff,0.9974619746208191,0.19637273252010345,253743,209,506305,1599,252510,157,0.19637273252010345
Cirrus_TRAIN003_057.tiff,0.9990736246109009,0.13919414579868317,253902,50,507358,546,253444,38,0.13919414579868317
Cirrus_TRAIN003_058.tiff,0.9993045330047607,0.0,253952,0,507551,353,253599,0,0.0
Cirrus_TRAIN003_059.tiff,0.9947752952575684,0.17309501767158508,253569,383,504715,3189,251039,276,0.17309501767158508
Cirrus_TRAIN003_060.tiff,0.9959961175918579,0.35780107975006104,253382,570,504757,3147,251368,563,0.35780107975006104
Cirrus_TRAIN003_061.tiff,0.9962250590324402,0.364242821931839,253356,596,504906,2998,251500,546,0.364242821931839
Cirrus_TRAIN003_062.tiff,0.995074450969696,0.40970733761787415,253054,898,503701,4203,250610,861,0.40970733761787415
Cirrus_TRAIN003_063.tiff,0.9939044713973999,0.14658522605895996,253681,271,504302,3602,250614,264,0.14658522605895996
Cirrus_TRAIN003_064.tiff,0.9943569898605347,0.20101067423820496,253593,359,504342,3562,250748,358,0.20101067423820496
Cirrus_TRAIN003_065.tiff,0.9938287734985352,0.1426997184753418,253631,321,504274,3630,250581,259,0.1426997184753418
Cirrus_TRAIN003_066.tiff,0.9955160021781921,0.2974231541156769,253382,570,504683,3221,251210,479,0.2974231541156769
Cirrus_TRAIN003_067.tiff,0.9958846569061279,0.43782171607017517,253122,830,504213,3691,251069,808,0.43782171607017517
Cirrus_TRAIN003_068.tiff,0.994106650352478,0.30718955397605896,253186,766,503620,4284,250326,658,0.30718955397605896
Cirrus_TRAIN003_069.tiff,0.9964475631713867,0.3805248737335205,253401,551,505008,2896,251607,551,0.3805248737335205
Cirrus_TRAIN003_070.tiff,0.9955465793609619,0.28087010979652405,253513,439,504778,3126,251265,439,0.28087010979652405
Cirrus_TRAIN003_071.tiff,0.9943287968635559,0.24345064163208008,253492,460,504125,3779,250633,460,0.24345064163208008
Cirrus_TRAIN003_072.tiff,0.993749737739563,0.19765664637088776,253564,388,503978,3926,250414,388,0.19765664637088776
Cirrus_TRAIN003_073.tiff,0.9959315657615662,0.0,253952,0,505846,2058,251894,0,0.0
Cirrus_TRAIN003_074.tiff,0.9960459470748901,0.044890161603689194,253905,47,505810,2094,251905,47,0.044890161603689194
Cirrus_TRAIN003_075.tiff,0.996347963809967,0.14451134204864502,253796,156,505745,2159,251949,156,0.14451134204864502
Cirrus_TRAIN003_076.tiff,0.9966041445732117,0.1375502049922943,253815,137,505912,1992,252097,137,0.1375502049922943
Cirrus_TRAIN003_077.tiff,0.9933297038078308,0.1957874596118927,253534,418,503726,4178,250183,409,0.1957874596118927
Cirrus_TRAIN003_078.tiff,0.9950198531150818,0.18850871920585632,253660,292,504806,3098,251146,292,0.18850871920585632
