Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.00847457627118644 (0.09205746178983233),0.03125 (0.17467630355495292)
TRAIN010,0.0 (0.0),0.015625 (0.12450690143095283),0.0 (0.0)
TRAIN011,0.3723404255319149 (0.4860205436870322),0.14942528735632185 (0.35857390766770925),0.0 (0.0)
TRAIN013,0.34782608695652173 (0.4788902604039829),0.6825396825396826 (0.46922712106381176),0.0 (0.0)
TRAIN015,0.0 (0.0),0.0 (0.0),0.022727272727272728 (0.1507556722888818)
TRAIN028,0.02040816326530612 (0.14285714285714285),0.6 (0.49705012174770846),0.13157894736842105 (0.3425699874501045)
TRAIN029,0.15625 (0.36890203262847354),0.23255813953488372 (0.4274625743754584),0.46938775510204084 (0.5042337758225565)
TRAIN032,nan (nan),0.0 (0.0),0.02040816326530612 (0.14285714285714282)
TRAIN041,0.021739130434782608 (0.14744195615489714),0.3469387755102041 (0.4809288065886704),0.12244897959183673 (0.331200660553418)
TRAIN046,0.0 (0.0),0.13043478260869565 (0.3405026123034995),0.125 (0.3415650255319866)
TRAIN049,0.4609375 (0.5004304249705651),0.1743119266055046 (0.3811298188779258),0.0 (0.0)
TRAIN050,0.5714285714285714 (0.49761335152811925),0.1015625 (0.30325903664538445),0.0 (0.0)
TRAIN051,0.43037974683544306 (0.4982930942624818),0.1320754716981132 (0.3401812317577964),0.0 (0.0)
TRAIN056,0.7567567567567568 (0.43495883620084),0.09375 (0.29378482569650155),0.0 (0.0)
