slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Cirrus_TRAIN001_000.tiff,0.8943270444869995,0.0,0.0,1.0,131072,0,0,0,237090,7303,17751,0,106018,0,0,0,0.0
Cirrus_TRAIN001_001.tiff,0.8696743249893188,0.0,0.0,1.0,131072,0,0,0,231919,15925,14300,0,100847,0,0,0,0.0
Cirrus_TRAIN001_002.tiff,0.9170064926147461,0.0,0.0,1.0,131072,0,0,0,242055,5281,14808,0,110983,0,0,0,0.0
Cirrus_TRAIN001_003.tiff,0.8882216215133667,0.0,0.0,1.0,131072,0,0,0,235788,5833,20523,0,104716,0,0,0,0.0
Cirrus_TRAIN001_004.tiff,0.8764615058898926,0.0,0.0,1.0,131072,0,0,0,233320,19744,9080,0,102248,0,0,0,0.0
Cirrus_TRAIN001_005.tiff,0.8629477024078369,0.0,0.0,1.0,131072,0,0,0,230547,19063,12534,0,99475,0,0,0,0.0
Cirrus_TRAIN001_006.tiff,0.8628391623497009,0.0,0.0,1.0,131072,0,0,0,230525,16585,15034,0,99453,0,0,0,0.0
Cirrus_TRAIN001_007.tiff,0.8615947365760803,0.0,0.0,1.0,131072,0,0,0,230273,8362,23509,0,99201,0,0,0,0.0
Cirrus_TRAIN001_008.tiff,0.9282177686691284,0.0,0.0,1.0,131072,0,0,0,244587,3492,14065,0,113515,0,0,0,0.0
Cirrus_TRAIN001_009.tiff,0.930740237236023,0.0,0.0,1.0,131072,0,0,0,245164,5444,11536,0,114092,0,0,0,0.0
Cirrus_TRAIN001_010.tiff,0.8615947365760803,0.0,0.0,1.0,131072,0,0,0,230273,9796,22075,0,99201,0,0,0,0.0
Cirrus_TRAIN001_011.tiff,0.9592793583869934,0.0,0.0,1.0,131072,0,0,0,251887,4282,5975,0,120815,0,0,0,0.0
Cirrus_TRAIN001_012.tiff,0.8655163645744324,0.0,0.0,0.0,131072,0,0,0,231069,11808,19233,34,99997,0,0,0,0.0
Cirrus_TRAIN001_013.tiff,0.8684887290000916,0.0,0.0,1.0,131072,0,0,0,231676,5059,25409,0,100604,0,0,0,0.0
Cirrus_TRAIN001_014.tiff,0.8606645464897156,0.0,0.0,0.0,131072,0,0,0,230085,11715,20326,18,99013,0,0,0,0.0
Cirrus_TRAIN001_015.tiff,0.8557097911834717,0.0,0.0,0.0,131044,28,0,0,229080,14629,18411,24,98013,0,0,0,0.0003024437464773655
Cirrus_TRAIN001_016.tiff,0.9122339487075806,0.0,0.0,1.0,131047,25,0,0,240993,6028,15123,0,109921,0,0,0,0.0
Cirrus_TRAIN001_017.tiff,0.8617034554481506,0.0,0.0,0.0,130937,135,0,0,230295,7747,24045,57,99223,0,0,0,0.0
Cirrus_TRAIN001_018.tiff,0.9485598802566528,0.0,0.0,1.0,131072,0,0,0,249319,2738,10087,0,118247,0,0,0,0.0
Cirrus_TRAIN001_019.tiff,0.9086306691169739,0.0015664773527532816,0.0,1.0,131019,53,0,0,240190,5107,16847,0,109122,4,0,0,0.0003643982927314937
Cirrus_TRAIN001_020.tiff,0.8767551779747009,0.0,0.0,1.0,131072,0,0,0,233381,16010,12753,0,102309,0,0,0,0.0
Cirrus_TRAIN001_021.tiff,0.8641104698181152,0.0,0.0,1.0,131072,0,0,0,230783,11332,20029,0,99711,0,0,0,0.0
Cirrus_TRAIN001_022.tiff,0.9965810775756836,0.02880658395588398,0.0,1.0,130818,254,0,0,261193,486,465,0,130150,7,0,0,0.06098843365907669
Cirrus_TRAIN001_023.tiff,0.8786700963973999,0.034140873700380325,0.0,0.0,130462,610,0,0,233405,11599,17108,32,102543,198,0,0,0.014614286832511425
Cirrus_TRAIN001_024.tiff,0.8611750602722168,0.07834101468324661,0.0,0.0,129914,1158,0,0,229440,10850,21836,18,98794,425,0,0,0.026051858440041542
Cirrus_TRAIN001_025.tiff,0.8758142590522766,0.01701865904033184,0.0,0.0,130759,313,0,0,233038,9754,19302,50,102049,83,0,0,0.005703291390091181
Cirrus_TRAIN001_026.tiff,0.9837079048156738,0.05186722055077553,0.0,1.0,130503,569,0,0,257794,2892,1458,0,126797,75,0,0,0.03448275849223137
Cirrus_TRAIN001_027.tiff,0.9121933579444885,0.0,0.0,1.0,130958,114,0,0,240984,7611,13549,0,109912,0,0,0,0.0
Cirrus_TRAIN001_028.tiff,0.9219469428062439,0.016397075727581978,0.0,0.0,130569,503,0,0,243027,9026,9964,127,112029,74,0,0,0.007741800509393215
Cirrus_TRAIN001_029.tiff,0.9742549061775208,0.07445520907640457,0.0,1.0,130746,326,0,0,255311,3304,3529,0,124369,123,0,0,0.038050636649131775
