Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.1447579877658427 (0.1723136835561858),0.027242087700869888 (0.1529146978278354),0.2890625 (0.4551082548383927)
TRAIN010,0.05253469015224255 (0.13523816966275282),0.03125 (0.17467630355495292),0.0390625 (0.1945049743306584)
TRAIN011,0.653949695173651 (0.4158002733888428),0.3975549213355407 (0.48537321237027514),0.11860455403439119 (0.32250037118511543)
TRAIN013,0.4394348593377799 (0.4857419418592542),0.4832354767204379 (0.4957135572867579),0.05404739655864432 (0.15777280074807803)
TRAIN015,0.0 (0.0),0.08184299284403096 (0.09217665592347697),0.2796586394542828 (0.2821625883618564)
TRAIN028,0.02040816326530612 (0.14285714285714282),0.40105985743658884 (0.44084982150775753),0.24272349644547367 (0.41034273711327124)
TRAIN029,0.32981181448819685 (0.3916999876745427),0.2676454454052205 (0.4296939119636026),0.6326530612244898 (0.48707791774949477)
TRAIN032,0.6169014861997293 (0.1406693734971126),0.5733409601510787 (0.3914057639996764),0.2653061224489796 (0.4460712855998855)
TRAIN041,0.04904949300143183 (0.18292832797385036),0.1836734693877551 (0.39123039821797584),0.12244897959183673 (0.331200660553418)
TRAIN046,0.2668721569626003 (0.23287364468947605),0.06766946127220076 (0.2263595864170715),0.34581636750538436 (0.33325336205117684)
TRAIN049,0.609375 (0.48980753089640705),0.18842968618264422 (0.35951192048107355),0.22958039572404232 (0.3689361516765476)
TRAIN050,0.6258220886447816 (0.4542721254762137),0.0078125 (0.08838834764831843),0.07634556014090776 (0.14962296044934817)
TRAIN051,0.4790469695453794 (0.44986164466521383),0.10093734760812367 (0.25833844784484333),0.078125 (0.26942268404342895)
TRAIN056,0.6502437180752167 (0.42537614181413375),0.03125 (0.17536809360305042),0.015625 (0.12499999999999997)
