Vendor,IRF,SRF,PED
Cirrus,289985.2 (428046.5),48356.4 (96858.61),70978.8 (116048.94)
Spectralis,74465.6 (166295.56),92279.4 (116914.83),28076.2 (35712.34)
Topcon,110886.25 (135114.18),37392.5 (39379.15),191906.0 (362340.69)
Cirrus,230118.75 (335268.73),283334.75 (330549.6),281369.5 (386550.02)
Spectralis,81525.2 (70020.71),83608.6 (147269.33),34805.2 (50185.86)
Topcon,96025.8 (116462.69),78289.6 (173414.25),3516.8 (7863.8)
Cirrus,250474.8 (315416.18),239913.8 (474845.12),233157.0 (317776.07)
Spectralis,51888.2 (27279.72),19444.0 (43177.43),76189.6 (85353.7)
Topcon,114213.0 (132173.53),44354.0 (72880.81),111008.0 (172540.53)
Cirrus,291355.8 (396345.71),151759.8 (305956.44),705302.0 (1230696.27)
Spectralis,84003.0 (68701.04),91159.0 (115844.43),49017.25 (61560.13)
Topcon,71886.2 (81507.71),61295.4 (134920.74),348476.8 (746923.76)
Cirrus,278652.2 (417958.03),465483.8 (1002047.57),63356.6 (107642.66)
Spectralis,72609.8 (96072.39),76808.4 (141730.06),14585.0 (32613.05)
Topcon,108347.5 (110142.02),0.0 (0.0),50654.25 (58734.37)
