Vendor,IRF,SRF,PED
Cirrus,257222.6 (240948.6),231593.8 (479557.47),151638.4 (302356.23)
Spectralis,32146.5 (16487.16),1455.75 (2564.78),53012.5 (106025.0)
Topcon,86903.2 (70906.06),711.0 (1589.84),40523.4 (55681.82)
Cirrus,230118.75 (335268.73),283334.75 (330549.6),281369.5 (386550.02)
Spectralis,81525.2 (70020.71),83608.6 (147269.33),34805.2 (50185.86)
Topcon,96025.8 (116462.69),78289.6 (173414.25),3516.8 (7863.8)
Cirrus,41937.4 (48808.39),183567.0 (302517.03),635660.2 (1238507.84)
Spectralis,32132.4 (44823.92),48364.4 (108146.09),38708.2 (38269.6)
Topcon,41277.0 (40286.07),24141.75 (42785.75),198366.0 (358768.86)
Cirrus,50083.2 (51720.72),26017.6 (35698.62),146607.8 (300943.5)
Spectralis,59767.6 (98610.04),98950.6 (133013.27),35938.2 (43797.41)
Topcon,172889.75 (149386.07),91660.75 (142060.56),420961.25 (841922.5)
Cirrus,761224.8 (354562.67),464335.4 (1002389.55),138888.0 (202584.43)
Spectralis,148548.8 (137120.94),112979.4 (109423.66),41008.2 (56240.21)
Topcon,100508.75 (126261.02),41674.5 (74645.21),119182.75 (166185.56)
