Vendor,IRF,SRF,PED
Cirrus,256720.8 (327451.02),52889.2 (95777.87),68341.2 (118399.54)
Spectralis,58485.2 (71474.2),68705.6 (105030.38),32244.2 (44990.52)
Topcon,40461.25 (47726.68),75658.5 (151317.0),471615.5 (809580.52)
Cirrus,230118.75 (335268.73),283334.75 (330549.6),281369.5 (386550.02)
Spectralis,81525.2 (70020.71),83608.6 (147269.33),34805.2 (50185.86)
Topcon,96025.8 (116462.69),78289.6 (173414.25),3516.8 (7863.8)
Cirrus,243292.0 (441017.48),221728.8 (484191.33),154276.0 (300531.09)
Spectralis,51742.2 (35891.58),72979.0 (108391.85),57526.8 (53327.53)
Topcon,41277.0 (40286.07),24141.75 (42785.75),198366.0 (358768.86)
Cirrus,371896.0 (411448.7),604481.6 (969314.0),713284.0 (1203624.85)
Spectralis,10217.0 (22631.85),70465.4 (144446.83),25883.6 (31519.46)
Topcon,156799.0 (121488.91),43189.5 (73683.55),111008.0 (172540.53)
Cirrus,238559.2 (360267.46),26414.2 (36291.35),136893.2 (306102.5)
Spectralis,182152.0 (151748.82),61636.25 (91493.19),53012.5 (106025.0)
Topcon,147813.8 (129776.93),12300.8 (20813.34),6539.8 (14623.44)
