0,1,2,3,4
10_test,1_test,9_test,22_train,11_train
13_test,16_train,1_train,3_train,23_train
5_train,18_train,2_test,6_test,19_train
14_train,9_train,6_train,12_test,21_train
7_test,17_train,12_train,4_train,8_train
3_test,13_train,2_train,11_test,15_train
7_train,20_train,14_test,24_train,5_test
4_test,10_train,34_train,8_test,22_test
24_test,18_test,23_test,46_train,35_train
27_test,15_test,25_train,27_train,47_train
29_train,40_train,16_test,20_test,43_train
38_train,42_train,30_train,26_test,45_train
21_test,33_train,36_train,28_train,32_train
17_test,41_train,26_train,25_test,39_train
31_train,37_train,28_test,48_train,19_test
40_test,44_train,55_train,42_test,32_test
30_test,69_train,53_train,58_train,57_train
49_train,60_train,59_train,64_train,63_train
33_test,35_test,52_train,56_train,41_test
66_train,70_train,68_train,36_test,62_train
50_train,51_train,38_test,34_test,67_train
65_train,29_test,54_train,39_test,31_test
,56_train,,,62_train
