0,1,2,3,4
23_train,12_train,10_test,24_train,13_test
8_test,1_train,2_test,6_train,14_train
4_train,17_train,16_train,9_test,11_test
22_train,6_test,18_train,10_train,14_test
20_train,5_test,2_train,8_train,3_test
7_test,13_train,3_train,15_train,21_train
1_test,11_train,9_train,4_test,19_train
7_train,5_train,12_test,16_test,32_train
39_train,35_train,48_train,20_test,23_test
19_test,31_train,29_train,34_train,18_test
21_test,42_train,22_test,43_train,28_train
36_train,24_test,47_train,27_train,26_train
33_train,40_train,27_test,41_train,46_train
30_train,38_train,17_test,28_test,44_train
25_test,26_test,25_train,61_train,63_train
15_test,37_train,45_train,62_train,59_train
67_train,56_train,49_train,31_test,32_test
70_train,69_train,60_train,40_test,57_train
30_test,39_test,35_test,37_test,42_test
50_train,58_train,38_test,54_train,29_test
68_train,51_train,36_test,64_train,53_train
66_train,55_train,41_test,,
52_train,34_test,33_test,,
65_train,,,,
